Unnamed: 0,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year
36,East West Rail Programme (Western Section),DfT,Amber/Red,"The East West Rail Western Section project will re-construct and upgrade a partly disused railway between Oxford, Aylesbury and Milton Keynes / Bedford allowing for the introduction of new passenger and freight services improving connectivity and journey times along the corridor to meet transport and economic growth needs. ","The project is progressing on schedule and on budget, with Phase 1 now complete with London Marylebone to Oxford Parkway services extended to Oxford on 12 December 16. Work is on-going on Phase 2, between Bicester / Milton Keynes and Aylesbury / Bedford, to ensure that services a delivered as soon as possible in Control Period 6.
 
The Department has taken on board the feedback received from a recent IPA Project Assurance Review regarding the capacity of the teams in charge of overseeing the delivery of the enhancement portfolio.
 
We are planning to strengthen the team in charge of the ÂClientingÂ role by adding supplementary dedicated programme management and technical/operational resources. In parallel, we are firming up the project governance and reinforcing the project quality processes",31/10/2012,31/03/2024,"The overall schedule and completion dates will be maintained. Phase 1 was delivered on schedule in December 2016. We are looking at options to accelerate the delivery of the section between Bicester Village and Bletchley, and in parallel at potential synergies in the section where HS2 and East West Rail infrastructure works could impact each other. ",Ĺ72.50,Ĺ69.10,"Ĺ1,592.00",Budget variance less than 5%.,"This total amount constitutes the funding envelope for the design and the infrastructure works, to be carried out by Network Rail and industry partners. As for any project of this nature, the amount contains some contingency associated with the remaining design uncertainties at this stage. The budget covers phase 1 for Ĺ308m and phase 2 for Ĺ1,284m. 
Rail investment period settlements are made in five year blocks. The budgeted whole life costs for this project includes the forecasts for this rail investment period (Control Period 5) and forecast cost for the next rail investment period (Control Period 6). The period for agreeing the settlement for Control Period 6 will not conclude until late 2018.",2017.0
37,Great Western Route Modernisation (GWRM) including electrification,DfT,Amber/Red,The Great Western Route Modernisation is an extensive programme undertaken by Network Rail and other key stakeholders to modernise existing infrastructure on the Great Western mainline - it will create faster more reliable services better stations and increased freight capacity. Modernising the route will improve the experience of everyone who uses it and stimulate economic growth in the south west and beyond.,"Significant improvements have been made to the governance and programme management of Great Western Route Modernisation, leading to an integrated industry approach. Since Sir Peter HendyÂs report reset the cost and schedule baselines for the programme in November 2015, the Programme is delivering to time and budget, and the first new electric services on the Great Western Mainline have now been introduced. The recent National Audit Office and Public Accounts Committee reviews recognised the significant improvements made in programme management and governance over the last year, and the Department is currently implementing these reportsÂ recommendations to improve the programme further. Scope changes have been made to ensure that the entire Intercity Express Programme (IEP) fleet coming into service on the route will be able to run in both diesel and electric modes, providing more flexibility for how the electrification programme is scheduled",01/12/2011,31/12/2024,"The programme is progressing to schedule, and all major milestones have been met since the Hendy replan of November 2015, such as the recent completion of the Intercity Express Trains test track between Reading and Didcot in September",Ĺ772.40,Ĺ740.10,"Ĺ5,507.00",Budget variance less than 5%.,"The total cost of Ĺ5.5bn is based on costs of the Great Western Electrification Programme - Ĺ2.8 billion (includes Maidenhead to: Cardiff, Oxford, Newbury, Bristol Temple Meads) Other electrification Ĺ0.7 billion the Trains Infrastructure programme and Other Great Western Route Modernisation infrastructure Ĺ2.1 billion (includes Reading Station (Ĺ763 million), capability and capacity works for new trains (Ĺ258 million), Bristol area signalling (Ĺ228 million), track widening at Filton Bank (Ĺ91 million))
Rail investment period settlements are made in five year blocks. The budgeted whole life costs for this project includes the forecasts for this investment period (Control Period 5) and forecast cost for the next rail investment period (Control Period 6). The period for agreeing the settlement for Control Period 6 will not conclude until late 2018",2017.0
38,High Speed Rail Programme (HS2),DfT,Amber/Red,A new fully integrated high speed North-South railway,"The SRO notes the Amber Red assessment, which reflects the overall complexity of the project and should be seen in the light of the very significant progress made recently on all phases of the programme, as set out below.
 
HS2 is in excellent shape and substantial progress has been made in all areas of the programme this year.
 
The Hybrid Bill for Phase 1 received Royal Assent in February 2017, giving us powers to acquire land and construct the railway.  Phase 1 has now moved into its delivery phase; enabling works have commenced, we are preparing to let the main civil works contracts for the construction of the railway and we have issued the first notices under the compulsory purchase powers to acquire the land.  Following engagement with train manufacturers, we are also readying ourselves to launch the procurement for the rolling stock for the scheme.  We have also issued a Prior Information Notice for a Master Development Partner to work with us on regeneration above and around Euston Station.
 
Phase 2 has also progressed well, we are readying ourselves to deposit a hybrid Bill for Phase 2a prior to summer recess.   The Secretary of State announced the route for Phase 2b and we have consulted on property compensation schemes.",28/02/2011,31/12/2033,"The project continues to make excellent progress against a challenging schedule.  

Phase 1:

Royal Assent has been given to the Hybrid Bill which has given us powers to acquire land and construct the railway.  HS2 Ltd has been appointed nominated undertaker for the scheme. We have started to acquire land to commence construction, with around 500 notices for access being issued in March 2017 to carry out surveys, together with up to 50 temporary possession notices. The first compulsory purchase order notices were served in April.

Contracts have been let to undertake essential enabling works along the route, and we have started these works. The procurement process for main works contractors for the scheme has commenced and tender bids are being evaluated.  Award of contracts is expected in summer 2017, following completion of the procurement process.

We are also preparing to start the procurement of a Master Development Partner to create a scheme for the development of the wider Euston station area.

Phase 2 

Phase 2a Bill preparation is underway and the programme remains on track to deposit a hybrid Bill prior to summer recess in 2017. ",Ĺ928.62,Ĺ928.62,"Ĺ55,700.00",Budget variance less than 5%.,"In the 2015 Spending Review (SR15), Government restated the long-term funding envelope for the HS2 programme at Ĺ55.7bn in 2015 prices. This budget is for delivery of the full HS2 scheme including rolling stock. 
The SR15 settlement sets a year by year funding allocation for HS2 as a whole for a period of 5 years (2016/17 to 2020/21). 
Following the precedent set by Phase One, we expect to capitalise all expenditure following second reading of the Bills.",2017.0
39,InterCity Express Programme (IEP),DfT,Amber,Intercity Express Programme (IEP) will renew the UK's high speed train fleet on the Great Western and East Coast. Through franchise competitions IEP is a key means to deliver the passenger benefits from the associated upgrades including more capacity improved reliability reduced journey times and better environmental performance. The order supports a new manufacturing facility at Newton Aycliffe where a new highly skilled engineering workforce will process the carriage body shells that Hitachi produce in Japan and build and fit out the trains ready for passenger service. This has created over 900 new jobs and supports thousands more in the UK supply chain as over 70% of parts for the trains are from UK sources. IEP serves London to Bristol Cardiff Swansea Cheltenham & Worcester and London to Leeds Edinburgh & Aberdeen offering through-trains from non-electrified lines without the need to change or attach a locomotive.,"Given the revised electrification dates published in the Hendy Review, the Department has decided to ensure passengers benefit from the new trains as soon as possible and funded conversion of all GWR IEPs to bi-mode. The trains are scheduled to enter passenger service from Autumn 2017.Â  Although there were delays to the completion of the test site, train testing is progressing but requires continued attention to ensure successful delivery, hence the Amber rating.

A Taskforce meets at least weekly and a Delivery Board weekly to track progress of activities reuqired to achieve October 2017. ",01/06/2005,06/02/2020,"IEP is operating to a compressed schedule to deliver trains to GWR by October 17 following delays to completion of the test site and discovery of electrical interference issues. Many of these issues have now been resolved and the test programme is progressing but remains compressed and therefore risky 

The train build schedule and the depot works remain broadly on-track. 

There remain a number of challenging milestones associated with infrastructure compatibility and technical approvals which must be overcome to achieve type acceptance and entry into service of the first trains on the Great Western route which is currently planned for October 2017. NR's Chief Engineer is fully engaged to help resolve these issues. ",Ĺ98.00,Ĺ146.34,"Ĺ6,512.95","The increase in variance is due to the testing delays and the approved bimode variation, which is required to enable diesel running on non-electrified sections of the Great Western route. This mitigates the programme delivery and benefits realisation impacts of the delayed Network Rail electrification works which are being delivered as part of the Great Western route modernisation.","Following the approved cost increase the budgeted WLC for IEP is Ĺ6.5bn. 
This comprises Ĺ480m for CP5 Network Rail infrastructure works and Ĺ6.02bn in respect of the new rolling stock and depots. 

The increase is attributed to payments for works required to mitigate the testing delays and the bi-mode variation.

Further cost increases as a result of work on the unmuzzling variation and wider commercial contract negotiations.  ",2017.0
40,Lower Thames Crossing Feasibility,DfT,Amber/Red,The project aims to solve the problems of traffic congestion at the existing Dartford Crossing and on local roads.  In the first phase the project will identify feasible options for additional river crossing road capacity in the Lower Thames area and assess these against the Client Scheme Requirements (Version 2.8) which were agreed with DfT early in 2014.  Public commitments to this work were given in 2014 by the SoS in response to the DfT consultation held in 2013.,The project was given an amber/red delivery confidence rating. We have been working closely with the Department for Transport to make the Preferred Route Announcement (PRA) and to make significant progress with addressing the MPRG panelÂs recommendations.,30/05/2014,31/12/2026,"The project remains on target to achieve open for traffic by the end of 2025 if publicly financed. The Department for Transport is working with HM Treasury to assess the impact for private finance which, if used, could extend the overall programme by up to 2 years",Ĺ35.60,Ĺ26.62,Ĺ199.10,To ensure all consultation results and evidence was examined ahead of the PRA being made has seen expenditure reprofiled from 2016/17 to 2017/18 and 2018/19.,Costs to take the project through the development phase (including the costs of the options phase) are forecast to be Ĺ295.2m of which Ĺ157.8m falls in the RIS1 period.  ,2017.0
41,M20 Lorry Area,DfT,Red,"A permanent solution for Operation Stack in Kent. This includes the provision of up to 4,000 HGV parking spaces including safe access and egress from/to the M20 Motorway and associated technology and signage. The project has a high level of political interest.
The project aims to resolve:
1. Improve journeys in Kent during times when Operation Stack is called due to service disruptions at the Channel ports.
2. Boost economic growth and opportunity in Kent which are affected during times of Operation Stack, including local businesses and tourism.
3. Provide a safe, secure, reliable and sustainable transport system in Kent during times of Operation Stack and service disruptions at the ports and taking in to account the projected increase in freight volume within the next decade by both Channel ports.

In November 2015, Government announced Ĺ250m will be allocated for a lorry holding area to manage disruption from Operation Stack. A site at Stanford West was announced by the DfT Secretary of State in July 2015.    However, the decision was subject to a Judicial Challenge in October 2016","The HE Project Team has taken onboard the Q2 IPA Narrative. The project team has been working on solutions that would help to address the concerns associated with the Judicial Review and allow further progress on the scheme.
Start Date Original Baseline      25/11/2015
Start Date Latest Approved Baseline      30/01/2018
Project Closure (End Date) Original Baseline   20/01/2018
Project Closure (End Date) Latest Approved Baseline    30/11/2019",25/11/2015,20/01/2018,"The Project is currently subject to Judicial Challenge which was lodged in October 2016 and validated by court in November 2016. A hearing is scheduled for December 2017. 
Construction works were initially planned to start in October 2016, then delayed to December 2016 due to detail design delays. Since the Judicial challenge was lodged, the project team has been exploring means to increase the confidence in delivery of the project by working on an alternative design.",Ĺ230.00,Ĺ86.50,Ĺ250.00,"As the project has been subject to Judicial Challenge, the largest variances are due to:
1. Land purchase delayed until JR outcome envisaged mid July 2017
2. Construction cost for permanent works which were initially forecasted to start in October 2016",The project team has tasked the Contractor to undertake an estimate of the new design. Following this estimate being completed it is envisaged that the project remain deliverable within the Ĺ250m Government allocated budget.,2017.0
42,Midland Main Line Programme,DfT,Amber,"The Midland Main Line Programme will reduce journey times, increase capacity for passenger and freight services and improve the passenger experience. It will reduce operating costs and the environmental impact of railway operations.","Costs and schedule continue to be closely monitored by the Department.
Work has taken place on Reference Class Forecasting to strengthen financial and schedule forecasts, utilising external expertise.
Currently external design assurance is being commissioned and undertaken to further strengthen confidence in the programme.
The Outline Business Case for Key Output 1 (electrification to Kettering and Corby and capacity works) was approved in October 2016 and authority was also provided to continue to develop the plans for Key Output 2 (electrification to Sheffield and Nottingham). 
",01/01/2011,31/12/2024,"Electrification from London St Pancras to Kettering and Corby, as well as capacity works on the whole route is due to be completed in 2019. Plans for electrification of the rest of the route to Sheffield and Nottingham by 2023 continue to be developed.",Ĺ263.20,Ĺ256.50,"Ĺ2,620.00",Budget variance less than 5%.,The stated cost is within the funding envelope for the programme as agreed following the Hendy Review in 2015. Rail investment period settlements are made in five year blocks. The budgeted whole life costs for this project includes the forecasts for this investment period (Control Period 5) and forecast cost for the next rail investment period (Control Period 6). The period for agreeing the settlement for Control Period 6 will not conclude until late 2018.,2017.0
43,North of England Programme,DfT,Amber/Red,The North of England Programme will improve the connectivity and capacity of the existing rail network across the north of England.  This will improve services for passengers and  bring economic benefit to  the region,"Substantial progress is being made in all areas of the programme this year. The Amber-Red assessment reflects the complexity and risk to the programme and its various delivery stages. The team have worked to address the cost pressures and programme delays on Phases 4 & 5 of electrification. Passenger benefits will now be delivered in phases to enable the fastest possible deployment of a series of major improvements to services across the North. Constructive working relationships have been established between the DfT, Network Rail, Rail North, delivery partners, customers and stakeholders. The Transpennine Route Upgrade is being developed in line with the new governance arrangements agreed with Network Rail in the Memorandum of Understanding (MoU) for enhancement projects. A Client Development Remit was issued in July 2016 which established a set of High Level Outputs. Network Rail is now developing a Single Development Option for December 2017 that will identify a list of interventions that deliver the High Level Outputs, allowing the DfT to make an investment decision in early 2018. ",03/11/2011,31/12/2022,"Key Programme delivery milestones remain challenging particularly on Phases 4 & 5 of electrification. The programme team are working with Network Rail, the Freight and Train Operating Companies (FOCs/TOCs) to maintain passenger benefits.",Ĺ652.00,Ĺ474.50,"Ĺ4,826.80",The reason for the variation has been a re-profiling of NR spend from the financial year 16/17 to 17/18.,"The Network Rail baseline whole life cost for the programme is Ĺ4.827 billion in 2012/13 prices which includes an initial estimate for the delivery of Transpennine Route Upgrade (TRU) by the end of 2022. The TRU programme is in development and a decision on which options will be selected will be made in 2018. These figures represent only DfT High Level Output Specification (HLOS) allocations. External funding figures (e.g. third party contributions; renewal contributions; maintenance costs; additional rolling stock costs) have not been included. 
Rail investment period settlements are made in five year blocks. The budgeted whole life costs for this project includes the forecasts for this investment period (Control Period 5) and forecast cost for the next rail investment period (Control Period 6). The period for agreeing the settlement for Control Period 6 will not conclude until late 2018.",2017.0
44,Rail Franchising Programme,DfT,Amber,"To secure the provision of passenger rail services as set out under the Railways Act 1993 (as amended) by letting Rail Franchises.  This is an ongoing programme of replacement and renewal of franchises, and the continual performance management of contracts, once signed.","Since Q2 the IPA have  recognised the external challenges that the Programme faces, many of which are out of its control (including adverse developments in national PPM trends, market interest in bidding declines and the downward shift in revenue growth, counter to the trend over the last two decades). Despite the rating Passenger Services was praised for the significant progress that has been made over a period in the face of great scrutiny and a very significant workload.  There are 11 recommendations that will now be taken forward including 2 critical recommendations around contingency planning and recruitment. Initial plans to respond to the recommendations are now being developed with the intention of holding an Assurance of Action Plan in summer 2017.

All recommendations from the previous Gateway 0 in October 2014 were responded to and implemented in 2015. This includes the appointment of Directors accountable to the SRO, improvements to our Risk Process and developing our Programme Outcomes.

The Rail Franchising Programme continues to deliver in line with the published schedule. Since Q2 we have made 1 franchise award following competition (East Anglia). This award will deliver significant benefits for passengers and higher returns to the exchequer. The East Anglia franchise was awarded in June, mobilised and begun in Oct 16. Key benefits of the new franchise include:
Â Ĺ1.4 billion investment to local rail services
Â 1,043 new, state of the art carriages between January 2019 and September 2020 to support the faster timetable, with a full programme of refurbishment for the current fleet in the meantime
Â at least 4 90-minute services (2 in each direction) between London and Norwich each weekday and 2 60-minute services per day between London and Ipswich
Â free Wi-Fi for all passengers on trains and at stations
Â automatic Âdelay repayÂ for season and advance purchase tickets
Â tough new targets for operational performance levels at 93% - up from 89.7% currently
Â a host of new ticketing initiatives, starting in October 2017, including new offers for part time users and those who donÂt travel every day
We have developed commercial plans to make better use of the information we receive from a variety of sources so that we can:
Â Better anticipate and plan for changes in market conditions and more robustly plan for future franchise specifications 
Â Be more informed and provide a better response to the annual business plans we receive from TOCS
The Commercial Plans will provide
Â Strategic objectives planned for each franchise post-contract award, which will provide the basis for in-life management teamÂs performance objectives;
Â An overview and most importantly a critical analysis of core MI;
Â Planned policy activities requiring in-life Changes;
Â A focus for value add contract management activities, e.g. assessing benefits realisation following delivery of committed obligations; and
The basis for future franchise specifications forming the basis of the Project Mandate
",26/03/2013,29/11/2029,"Proactive management of rail franchise schedule led to the most recent issue (Dec 16) with several competitions being retimed. The retiming serves to reduce the contract award congestion in 2018, de-conflict the franchise competitions to maximise commercial interest, optimising  market capacity , maintaining market confidence and ensuring Passenger Services are resourced to undertake multiple procurements.
The retiming of the InterCity West Coast competition (ICWC) (now the West Coast Partnership (WCP)), which will incorporate the procurement of a shadow operator for HS2 into the franchise competition and was announced in Nov 16. This retiming will allow us to continue to engage with the market on the best options for the franchise to do this. A West Coast Continuation project is now underway to ensure there is no gap in service between the ICWC expiry date (Apr 18) and the start of the new WCP franchise (Apr 19)
Also retimed were the South Western, South Eastern franchise and Great Western Franchise competitions. 
We currently have teams working on 5 live franchise competitions at various stages of completion.
",-Ĺ74.90,-Ĺ53.20,"-Ĺ7,169.20","The figures above represent the revenue line from the Long Term Forecast (LTF) for the 3 franchise competition which was beyond the OBC stage (which coincides with the invitation to tender (ITT) and thus have financial figures). The baseline figures are based on an earlier version of LTF. Since the baseline figures were produced, the actuals were contracted, with lower than forecast premium in 16/17 and 17/18, but higher than forecast premium in the later years of the franchises. This has led to lower forecast figures in 16/17 than previously assumed in the LTF.
This will be the last time that the costs will be represented this way. The department is reviewing how the franchise programme reports its financial data on the GMPP
", Budget values are derived from v15.51 of the rail LTF amended for subsequent CP5 and other changes. Economic factors as most recent OBR projections. Forecast from rail LTF v June 2015. A significant policy change since the Q1 forecast is the change in fares policy for the years of 2015/16 to 2019/20 where the fare increase has been reduced from RPI+1% to RPI+0%. This change increasingly reduces farebox across all years. Lower inflation forecasts will have also reduced farebox although this will be partially offset by lower costs. ,2017.0
45,Search and Rescue Helicopters,DfT,Amber/Green,To manage the delivery of a Search and Rescue Helicopter contract for the provision of search and rescue helicopter services for the UK,"The UK SAR Helicopter Programme is reaching the end of the transition phase.  The final SAR bases to fold into the new UK SAR Helicopter Programme are at Stornoway, Lee-on-Solent and Shetland in 2017.  These bases are currently operated under legacy Coastguard helicopter contracts.  All indications are that the transition of these three remaining bases will happen on time and to budget.

Since SAR services under the UK SAR Helicopter Programme started, HM Coastguard's new helicopters have responded to over 2,800 requests for assistance, and saved or assisted over 1,900 people.
",08/02/2011,08/09/2017,The programme is performing well against the plan. Seven out of the ten planned bases are now in full operation.  The three remaining bases to transition are on track to do so at the point at which the legacy Coastguard contracts under which they currently operate end.  The issues which were delaying the introduction of the smaller airframe type have been addressed an introduction of these aircraft will start to take place from April 2017.  The delayed introduction of these aircraft has been mitigated throughout with the use of alternative aircraft from the contractor's fleet.,Ĺ207.60,Ĺ193.50,"Ĺ2,157.40","The forecast variance for 2016/17 is an underspend of nearly 7% versus budgeted costs.  This is partly attributable to DfT and MCAÂs management of the contract, negotiating reduced charges for contract variations and enforcing contractual terms where the contractor has not met performance criteria.  Both DfT and MCA have also benefitted from favourable movements in variable costs such as the lower price of fuel and a lower than expected rate of inflation.","Budgeted whole life cost of Ĺ2,157m represents the contracted cost for running the UK SAR Helicopter Programme from FY 2013/14 until the end of FY 2025/26, inclusive of non-recoverable VAT.",2017.0
46,South West Route Capacity ,DfT,Amber/Red,"The programme will deliver increased capacity into and from London Waterloo during the busiest times of the day through:

Â Improvements to London Waterloo including the reopening of the Waterloo International, the lengthening of platforms 1-4 and improved passenger flows
Â Longer platforms for longer trains, at a number of stations on the Reading line
Â 30 brand new trains, providing 150 extra carriages, between London Waterloo and Windsor
Â New technology to make trains more efficient and improve punctuality
Â Improvements to depots and maintenance facilities to look after the networkÂs biggest ever fleet of trains.","The amber/red delivery confidence rating reflected interface issues and risks related to the change of the franchise competition during the part-closure of Waterloo and interface issues with the retail project being developed. It is important to highlight that the IPA review team noted that the programme elements directly associated with delivery of infrastructure upgrades, rolling stock renewal was progressing well.",16/07/2012,31/12/2019,The programme is on track to deliver the service changes expected in 2017 and 2018,Ĺ178.86,Ĺ180.96,Ĺ733.90,Budget variance less than 5%.,"The current forecast is in line with the current rail investment (Control Period 5) programme baseline. 
Rail investment period settlements are made in five year blocks. The budgeted whole life costs for this project includes the forecasts for this investment period (Control Period 5) and forecast cost for the next rail investment period (Control Period 6). The period for agreeing the settlement for Control Period 6 will not conclude until late 2018. ",2017.0
47,Shared Services Implementation Programme,DfT,Amber,"The Independent Shared Service Centre (ISSC1) was created in early 2013 when the DfT shared service centre was divested to arvato. A Framework Agreement based on a new, lower cost Agresso ERP platform was established. DfT transferred the ISSC1 Framework Agreement to Cabinet Office in October 2013 and Cabinet Office became Framework Authority.   In 2013, four other government bodies agreed call-off contracts with arvato under the ISSC1 Framework. These were HM Treasury, DCLG, DCMS and the Civil Nuclear Constabulary.The original plan to migrate parts of the DfT family and OGDs on to the Agresso platform resulted in significant time delays and cost overruns.  The DfT family was scheduled to have migrated by October 2014, followed by the OGDs due to go live by the end of 2015.  By the end of 2015, the Maritime Coastguard Agency (MCA) Â an agency of the DfT, had migrated on to Agresso,  In November 2015, arvato approached HMG seeking to renegotiate the terms of their contract. Acting on behalf of the Framework Authority and OGDs, the DfT negotiated exit for the OGDs from their contracts and new Heads of Terms with arvato through which DfT became the sole recipient of services and replaced Cabinet Office as the framework Authority.  The new terms became effective from 18 August 2016.","Following the project re-scope in August 2016, DfT is the framework authority and the sole recipient of services from Arvato. As a consequence of the project re-scope, which sees a reduction  in the value of the contract and the 'novel and contentious' nature of the project,  the project has been recategorised as a Tier 2 investment and as such the project no longer reaches the threshold requirements for reporting to GMPP; the risk of the programme has therefore been reduced in line with the risk thresholds appropriate for Tier 2. ",10/12/2010,01/06/2013,The programme is currently on track with the rescoped plan agreed by Permanent Secretaries at DfT and Cabinet Office in August 2016.,Ĺ20.20,Ĺ9.90,Ĺ161.10,The variance shown above is the variance in relation to the original business case for divestment of the shared service centre.   Whilst the divestment itself was successful the transformational IT programme ran into difficulties which led to the commercial negotiations Decemeber 2015 - August 2016.  At this point the project was rescoped (see Project Description/Aim) and the costs were rebaselined.,The costs of the prgramme above reflect the historic programme scope pre-negotiation.  The rescoped project costs reflect the revised programme and are managed at Tier 2 level within the Department.,2017.0
48,Thameslink Programme,DfT,Amber/Green,"A significantly enhanced high-frequency rail service which will increase rail-based capacity in London by 10%, provide new journey opportunities and reduce congestion on the Underground.",Â The Thameslink Programme is progressing to time. The key milestones achieved in this period include: the successful completion of Hornsey Depot which was declared practically complete on 20 July 2016 and taken into operational use by the operator Govia Thameslink Railway; the successful opening of the southern concourse at London Bridge station on 29 August 2016; and the substantial completion of the Charing Cross platforms at London Bridge station which are now in service. By 30 March there were 30 trains in services. ,01/07/2005,31/12/2026,"The Thameslink Programme is a circa Ĺ7bn project which will increase capacity and improve accessibility to, from and through the heart of London. The programme remains on schedule for completion in December 2018. Although good progress has been made on train delivery, infrastructure works at London Bridge station and the construction of two new depots, there remains a number of challenges relating to the delivery of the new timetable into service in December 2018 which includes agreeing the timetable, rolling stock acceptance testing and operational readiness. The IPA RAG rating for the programme remains unchanged from Q1 at Amber/Green

The implenteation of a new corss industry delivery board  and idnepenedent process is design to imporve readiness for 2018. ",Ĺ20.74,Ĺ20.99,"Ĺ7,287.70",Budget variance less than 5%.,"Â Following the approved cost increase the budgeted Whole Life Cost for the Thameslink Programme is Ĺ7.2bn of which circa Ĺ5.05bn is Network Rail infrastructure costs, Ĺ2bn in respect of new rolling stock and Depots costs.",2017.0
49,Childhood Flu Immunisation Programme,DH,Amber/Green,"To extend the current flu programme to children aged two to less than 17 years as part of DH legal obligations, under the 2010 NHS Constitution.","Three seasons of successful programme roll-out have taken place including implementation in primary schools. This experience and planning for the programme for the forthcoming season have demonstrated that the programme is now becoming established.  In addition to the children already offered vaccination each year, the 2016/17 season will see flu vaccine offered to children in primary schools in year 3 for the first time. Planning has been completed and delivery partners are prepared.  We expect vaccine supply to be in place in time to meet GP and school schedules and planning is underway to put a contract in place for vaccine up to 2021/22.",03/09/2013,01/09/2018,"The programme continues to roll out in line with planning, which is currently up to 2021/22. Ministerial approval has been gained for these plans.",Ĺ78.90,Ĺ78.90,Ĺ318.81,Budget variance less than 5%,"The budgeted whole life cost covers each year of the programme including rollout to all primary school years, i.e. up to and including year 6. The figure is informed by birth rate figures, uptake rates, the vaccine price and the costs of administration (which is commissioned by NHS England).  The existing vaccine contract provides for vaccine for the 2017/18 season and the new contract vaccine price may affect future costs.  ",2017.0
50,CSC Local Service Provider (LSP) Delivery Programme,DH,Amber/Green,"The Programme delivers the LSP contract for IT services across health and care organisations in the North, Midlands and East of England including delivery of the strategic electronic patient record system (Lorenzo) and the safe and secure exit of all non-Lorenzo deployed services. There now only remains a small minority of organisations that we are working with to manage a safe and secure exit from the programme. The vast majority exited as planned in July 2016.",The programme is due to close at the end of 2017 subject to Gate 5 review.  Remaining systems under the contract are exisiting and Lorenzo problems are being addressed. The governance and ongoing activity is being refreshed to to reflect the evolution to BAU,23/06/2003,31/12/2017,"The majority of the non-Lorenzo system deployed under the CSC LSP Contract sucessfully exited the contract in July 2016.
The remaining Lorenzo deployments are on target, with final deployments occuring in 2017 and the overall programme on target to end in 2022.",Ĺ100.87,Ĺ74.00,"Ĺ2,109.84","The 2016/17 forecast is lower than the baseline due to the baseline including NHS Trust costs which are not included in the forecasts.
Additionally the revenue spend is lower due the Exit costs being lower than anticipated as more trusts exited the contract on time than was anticipated and a lower uptake of Lorenzo modules than anticipated causing a lower capital forecast than the baseline.","The total forecasted programme whole life cost is Ĺ1,995.87 million of a total budgeted whole life cost of Ĺ2,109.83 million. 
The forecast costs include the costs to deploy and run critical clinical IT systems to health and care organisations across the North, Midlands and East of England including 2,700 non-Lorenzo clinical information systems (now mostly exited) and the strategic electronic patient record system (Lorenzo). Note that the budgeted whole life costs includes Ĺ106.85 million of local costs which is not captured in the forecast programme whole life costs.  
",2017.0
51,Electronic Prescription Service (EPS) Release 2,DH,Amber,The Electronic Prescription Service enables prescribers - such as GPs and practice nurses - to send prescriptions electronically to a dispenser (such as a pharmacy) of the patient's choice. This makes the prescribing and dispensing process more efficient and convenient for patients and staff.,A Gate 5 Review is to be conducted in November 2016.  The programme is due to close at the end of December 2016. Delivery of the remaining scope of the EPS Business Case (i.e. Phase 4) is expected to transfer to the Digitising Community Pharmacy and Medicines Programme under Paperless 2020 Domain E.,01/01/2003,31/12/2016,"Work is progressing in order to close the programme at the end of December 2016.  Meetings have been scheduled with departments accross the organsiation to agree the handover of business as usual processes.

The EPS Phase 4 pilot has been unable to begin as the GMS Regulations must be amended to reflect the change to the role of a prescriber when all prescriptions are sent via EPS and, following legal advice, this has been deemed to also apply to the pilot phase. NHS Digital are working with the Department of Health and NHS England to make the necessary changes to the Regulations and the Phase 4 pilot is therefore unlikely to start in 2016 or 2017.    Replanning is underway and Phase 4 will transfer to the Digitising Community Pharmacy & Medicines programme within Domain E or Paperless 2020. ",Ĺ3.46,Ĺ5.58,Ĺ77.73,Two change requests were submitted and approved to request additional funding to cover the cost of pharmacy training and the pre-requisites for Phase 4 and to rephase this funding to deliver the changes.,Actuals are within the budgeted whole life costs.,2017.0
52,General Practice System of Choice (GPSoC) Replacement,DH,Amber,"GPSoC Replacement Project: Continued funding for the provision and development of the GP clinical IT systems used in all practices in England by appointing a range of suppliers to a procurement framework, offering GP practices a choice of systems from a diverse market",Recommendations remaining from the July 2016 assurance are now owned within new programme arrangements to deliver future requirements.,26/01/2012,31/03/2015,Existing GPSoC live service is scheduled to run to December 2018. Future requirements will be scoped under new programme arrangements.,Ĺ179.47,Ĺ171.32,Ĺ527.54,Budget variance less than 5%,"The budgeted WLC is taken from Addendum FBC v0.7 which covers an additional 2 year extension (Apr 2014-Dec 2018). This incorporates the delays seen to date with regards to Hosting, Interface Mechanisms, Subsidiary Modules and Patient Facing Services. 

Foecasted WLC is currently Ĺ506.21m",2017.0
