,project_name,Department,"IPA Delivery Confidence Assessment
(A Delivery Confidence Assessment of the project at a fixed point in time, using a five-point scale, Red  Amber/Red  Amber  Amber/Green  Green; definitions in the IPA Annual Report on Major Projects)",Description / Aims,Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date
(Latest Approved Start Date)","Project - End Date
(Latest Approved End Date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)","2018/19 TOTAL Baseline Łm
(including Non-Government costs)","2018/19 TOTAL Forecast Łm
(including Non-Government costs)",2018/2019 Variance %age,"Whole Life Cost TOTAL Baseline Łm
(including Non-Government costs)","Departmental narrative on  budget/forecast variance for 2018/19
(if variance is more than 5%)",Departmental Narrative on Budgeted Whole Life Costs,Annual Report Category
66,Building Our Future Locations Programme ,HMRC,Amber,"HMRCs transformation is the biggest modernisation of the UK tax system in a generation making fundamental changes to the way it operates. The ambition is to become one of the most digitally-advanced tax authorities in the world. This will be done by becoming a smaller, more highly-skilled and flexible organisation. The Locations Programme is key to HMRCs wider transformation, by changing the working environment it will help change the way they work. 
The estate will be made up of 13 Regional Centres, 7 Transitional Sites and 5 Specialist Sites and a London Headquarters. This will enable HMRC to create modern, adaptable work spaces that will support the digital infrastructure, staff collaboration and development that HMRC requires to modernise. This Programme also supports the wider Government agenda to transform the Civil Service estate; all of our chosen locations for HMRC Regional Centres align with the siting of Government Hubs. 
The Programme will deliver both financial and non-financial benefits. The financial benefits are largely based on reduced accommodation costs. 
Over the 10 years to 2025 the expected cumulative net Programme benefits of around Ł300m. Additionally, after 2028 the Programme will deliver annual savings of over Ł90m.
 Moving to regional centres will save around Ł300 million up to 2025. The Programme will deliver annual cash savings of Ł74 million in 2025-26, rising to around Ł90 million by 2028, while improving customer service and modernising how HMRC works.
The Programme are also confident that it can enable a wide range of non-financial benefits, including increased use of flexible working patterns, more effective management of peaks of customer demand, improved IT delivery and people benefits including improved recruitment and staff retention.","The Locations Programme currently holds an AMBER/GREEN IPA Delivery Confidence Rating. Significant progress made with all of the leases for Regional Centres signed, bounding the financial risk and maturing the Programme with robust Project Controls and Governance. The Programme has also made progress in the following areas: the Programme Business case has been refreshed and approved with 19/20 funding agreed; 3 Regional Centre Full Business Cases and 1 Specialist Site Outline Business Case have been approved; and the Regional Centre occupation levels are agreed with Business Groups and a change control process is in place to control any change requests",05/01/2016,31/03/2026,The Programme continues to make significant progress with all 13 Regional Centre Locations now confirmed.  The delivery of the Programme to time is considered probable. ,Ł326.10,Ł302.80,-7%,"Ł2,835.90",The variance is due to a decision taken as part of a HMRC prioritisation exercise to defer Newcastle and Nottingham regional centre delivery. Both were planned to commence in 2018/19 but this will now be in 2020/21. ,"Investment to deliver 13 Regional Centres and 5 specialist sites. Includes costs related to design, fit out, furniture, IT infrastructure for the buildings and HR related costs of moving staff from the existing estate into the new buildings such as Exit costs and Daily Travel Allowance costs.  Costs are in nominal prices. 
Whole life running costs are out of scope of the Programme but as a result HMRC running costs are expected to reduce by Ł90 million per annum by 2028.",Government Transformation and Service Delivery
67,Columbus (formerly Aspire Replacement Programme),HMRC,Amber,"To Achieve a safe transition from the ASPIRE contract to the new HMRC IT operating and sourcing model, enabling HMRCs digital and data transformation and deliver the benefits of the new model thereafter.","The amber status at Q2 was due to the uncertainty around quantifying the benefits, this has subsequently been resolved as part of the programme closure activity.",01/01/2014,31/12/2021,"At Q2 the Programme was ahead of schedule, and subsequent to that the programme has closed ahead of schedule.",Ł104.00,Ł6.00,-94%,Ł694.00,The variance allowed for significant contingency to be built into business case to move physical infrastructure to the HMRC estate; in reality the transition was subsumed into existing servers and on to Cloud infrastructure at a lower cost.,Whole Lifecycle Costs are the departments spend on transforming the new IT service provision. Costs relate to contractual costs and programme resource costs for the development and the live running of services. Costs also incorporate some cloud hosting. The costs are reported in real terms with an index year of 2014,ICT
68,Compliance For The Future Programme,HMRC,Amber/Red,The strategic objective of the Compliance for the Future (CftF) programme is to enable HMRC to transform its Compliance business and meet the compliance challenge set out in the SR15 settlement by maintaining the compliance revenue baseline at lower cost. The programme contributes efficiencies to maintaining the compliance revenue baseline and thereby helping ensure that the additional revenue to which the Department is also committed.,"As part of wider departmental prioritisation exercises, the decision was taken to refocus the programme resource onto business critical EU Exit-related activity. As a result, the programme closed. In the months preceding the closure decision, the programme had worked closely with stakeholders across HMRC to mitigate the significant impact of a separate programme closure, upon which the programme had a key dependency for Strategic Risking. The programme had identified appropriate ways forward to enable successful delivery of this capability and, in doing so, address the dependency risk and build confidence that would be reflected in its future overall RAG status. Following the decision to close the programme, the business critical elements, particularly strategic risking, are being taken forward as technical mitigations under separate business cases.",01/04/2016,31/03/2021,"The schedule was impacted by the decision to close another programme, upon which this programme had a key dependency, as well as ongoing departmental prioritisation decisions. The programme had worked with stakeholders to agree revised timescales that took into account departmental pressures and prioritised business critical activity. However, as part of a departmental wide prioritisation decision to focus key resource onto EU Exit-related activity, programme resources were deployed onto EU Exit work and the programme closed.",Ł50.45,Ł34.40,-32%,Ł188.18,"The Baseline figure of Ł50.45m was consistent with the Programme Business Case presented to HM Treasury in October 2017.  Underpinning this was an assumption of a 3 Year Delivery Profile with appropriate cost estimates. Following a departmental prioritisation exercise in December 2017 the programme delivery plan was stretched to 5 years and associated revised cost estimates were developed lowering the requirement in the 2018/19 year accordingly. A further prioritisation exercise in quarter 1 of 2018/19 deferred and de-scoped some project activities leading to a further estimate reduction. It was intended to update the business case to reflect the revisions but as a result of a departmental prioritisation decision to focus resource onto business critical EU Exit activity, the programme has closed.",The Baseline Whole Life Cost represent resource and IT delivery costs. The budgeted whole life costs are reported as nominal.,Government Transformation and Service Delivery
69,CUSTOMS DECLARATION SERVICES (CDS) Programme,HMRC,Amber/Red,"HMRC is responsible for delivering an end to end Customs declaration processing service for imports to and exports from the UK.  The current system is the Customs Handling of Import and Export Freight service (CHIEF).  Each year this business critical service handles c.60 million declarations and collects Ł34bn revenue, set in a context of an international trade supply chain that is worth Ł700bn p.a. to the UK economy. CHIEF operates real time, 24 hours per day, 365 days of the year.
The current CHIEF system is more than 23 years old and based on aging Virtual Machine Environment (VME) technology which is becoming difficult to maintain. The service has reached a point where any changes will be both expensive and technically difficult to implement.  HMRC is seeking to replace CHIEF with a robust, scalable set of import /export services, capable of delivering this critical function into the future.  ","The amber/red delivery confidence assessment reflects the concerns that IT testing activities took longer than expected and CDS Release 3 go-live date was moved to March 2019.
We have agreed and begun to implement a significant delivery organisation change, with clearer accountabilities and increased levels of SCS leadership. This will allow targeted action on key lessons learned to date, particularly Release 1 delivery.",16/10/2013,31/01/2019,Release 2 ( All Imports functionality) delivery date remains the end of November and Release 3 (All Exports funtionality) delivery was moved to March 2019 as agreed at August Programme Board. However as with any large complex delivery there are always risks to delivery. ,Ł75.49,Ł75.57,0%,Ł226.33,Budget variance less than 5%,Budgeted Whole Life Costs are reported in Real Terms with an index year of 2017.,ICT
70,Government Gateway Transformation,HMRC,Amber,"The Government Gateway Transformation Programme (GGTP) will deliver the identity, credential and risking elements that support the full suite of HMRCs digital services and some services for Other Government Departments. GGTP will replace the existing gateway with a new and improved set of processes, customer experience, staff tools and technology stack.  GGTP is also responsible for transitioning services, migrating data and decommissioning the existing Government Gateway in March 2019.","The Programme RAG status reported at Q2 was amber as there were still a number of HMRC Services which needed to migrate over to the new Secure Credentials Platform. 46 Services had been migrated but a further 28 were still needed to be transferred over; plans were still in development in getting the remainder of the Other Government Departments to off-board and on-board their Services; and the Enrolment and Agent & Client Database (EACD) Project still had several complex deliveries to be scheduled with very little room for contingency.

These issues have now been addressed. All 160 HMRC and Other Government Department services and dependencies have been removed from the old government gateway. All Services were transitioned smoothly and access to services was maintained throughout the data migration window. The EACD Project delivered its remaining milestones and the new database became the master of HMRC data in November 2018 for over 100m records. The old government gateway was decommissioned in March 2019 and all physical KIT has been destroyed.",01/04/2017,31/03/2019,Overall the programme remained on track but there was some slippage and the following milestones were re-planned. The migration of all HMRC Services to the Secure Credentials Platform were re-planned due to the complexity of the some of the services which required additional work.  These were all successfully migrated in January 19. All enrolment and known facts data successfully migrated milestone was re-planned due to allow further work to minimise customer impact and to complete additional performance testing of the new database. All data was transferred over successfully in November 2018.,Ł28.04,Ł25.19,-10%,Ł131.11,Variance is due to prioritisation of requirements and deliveries to drive down costs to live within departmental funding limitations and the approved funding allocated to the Programme in 2018/19.  The Programme prioritised delivery backlogs to live within revised allocations ensuring we could still achieve initial aims of the Programme.  The Programme has continued to assess running and transactional costs and update forecasts accordingly.  ,"Whole Lifecycle Costs represents the departments spend on developing new digital services. Costs predominately relate to contactor and staffing resource costs for the build, development and the live running of these services. Costs also incorporate cloud hosting and license charges associated with the digital deliveries. Reporting is on a nominal basis.",ICT
71,Making Tax Digital for Business,HMRC,Amber/Red,"Delivering requirements to modernise IT architecture, bring tax reporting closer to the point of transaction, removing the need for customers to complete tax-specific returns and/or provide information HMRC already holds, enhancing digital services for businesses and agents and delivering a better customer experience.","An IPA-led Critical Friend Review in July 2018 gave an overall DCA of AMBER/RED which was in-line with the previous assessment at the PAR/OGC review in May 2018. There were eight recommendations (3 critical, 5 essential).  At 30 September 2018, actions to address these recommendations were still in progress.  All been fully addressed and closed since. 
 
The programme had a further IPA review in February 2019 to assess readiness for VAT mandation from April 2019, which assessed the overall DCA as AMBER/RED. The programme has completed actions to address 6 of the 7 recommendations (which were deemed critical or essential), with progress ongoing on the final one (deemed recommended). Programme Board on 21 March 2019 gave approval to proceed with VAT mandation from April 2019.",01/04/2016,31/03/2021,"In September 2018 the Departmental Delivery Confidence RAG was assessed as Amber/Red which reflected challenges in delivering functionality to enable us to open up the VAT pilot from mid-October 2018. Plans were on schedule but additional complexity and risk was introduced by the requirement to prepare in parallel for postponed VAT accounting in the event of exiting the EU without a deal. 
 
There has been no deviation from our plans since that time and we have now delivered the functionality for all customers mandated from April 2019. There are over 89k customers in the VAT pilot as at 28 March 2019, and take-up has now increased further with the service continuing to hold up well.  ",Ł77.09,Ł75.15,-3%,Ł334.48,Budget variance less than 5%,"The budgeted whole life costs are based on the latest Programme business case approved by the HMT Treasury Approval Panel on 5 September 2018.  It includes investment costs such as IT design, build and development, and running costs to 2022/23. The costs are nominal.",ICT
72,Tax-Free Childcare,HMRC,Amber,"Under TFC the intention is to provide childcare accounts for all eligible children for which the first Ł8,000 deposited by parents or others is topped up by government by 20p for every 80p deposited, up to a maximum of Ł2,000 per child per year (Ł4,000 for each disabled child). The TFC programme will design and implement the TFC scheme. Accountability for TFC is divided between HMRC and HM Treasury (HMT). HMRC are responsible for TFC delivery and for outcomes on customer service such as correct payments and data security. HMT have responsibility for ensuring the scheme delivers its intended policy outcomes and for advising ministers on any further policy changes needed to ensure the outcomes continue to be achieved. HMRC will also deliver, for DfE who are the accountable Department, the functionality to support the enhanced 30 hours free childcare provision for 3 and 4 year olds. ","The Programme's DCA has been amended this quarter, to Amber, following agreement at Programme Board on 25 September. This decision was made due to the uncertainties around some of the delivery dates within the IT delivery plan and the current take-up shortfall against the KAI OBR forecast. Work is underway to prioritise the remaining programme deliverables and ensure the delivery, before the programme closure on 30 September 2019, of all critical components. The TFC marketing campaign started on 10 September with the aim of increasing take-up of TFC accounts. ",10/09/2013,30/09/2019,The timeline to deliver the remaining TFC improvements and functionality before programme closure is challenging and the scope has been reviewed to ensure delivery of critical components. Regular planning sessions are ongoing to review the IT delivery plan and any issues identified during development or delivery. ,Ł54.06,Ł50.91,-6%,Ł356.89,There is a Ł3m reduction to the overall forecast of Ł318m reported in the previous quarterly return. This is a consequence of planned development work to deliver essential system impovements and new functionality being deferred in 2018/19. The work will now be completed during 2019/20 but the costs will be absorbed from the ringfenced funding envelope provided.,"The reduction above will reduce the budgeted whole life cycle costs, which are reported as nominal.
Costs cover resources and IT deliveries.",Government Transformation and Service Delivery
73,Asylum Accommodation and Support Transformation (AAST) ,HO,Amber,"Asylum Accommodation and Support is a statutory responsibility. The project aims to deliver an Asylum accommodation and support model which will ensure the safety and security of service users and their host communities and represents value for money for the UK Government, learning the lessons from previous asylum support contracts.","The Project's IPA RAG rating is Amber as good progress has been made on delivering the Full Business Case, which was submitted for Home Office approval on 22 September 2018, following conclusion of procurement of five accommodation lots. Procurement of the remaining two accommodation lots is ongoing, the project team are finalising the outcome of the advice, issue reporting procurement. Planning for the mobilisation and transition phase is underway in advance of the next phase of the project. ",29/08/2016,02/09/2019,Project schedule reviewed in light of procurement progress and a recovery plan put in place to re-procure two accommodation lots due to failure to secure compliant bids at initial procurement. Project remains on plan with delivery of the mobilisation and transition due to conclude September 2019,Ł3.64,Ł19.97,449%,"Ł5,062.02",Forecast variance is due to inclusion of anticipated costs of mobilisation and transition payments to suppliers which were not included in the Outline Business Case.,"The financial modelling for this project is based on three different service user volume scenarios depending on the number of Asylum Seekers within the UK requiring support. The figures used here are those representing the midpoint volume, however, the Outline Business Case presents a range given the inherent complexity regarding service user volumes. ",Government Transformation and Service Delivery
74,Communications Capabilities Development (CCD) Programme,HO,Green,"In a world of internet enabled communication, the programme ensures that the police, wider law enforcement, security and intelligence agencies can lawfully obtain, manage and use communications data and intercepted content to: detect, prevent and disrupt crime; protect the public and save lives.",The programme formally closed on 31 March 2018.  The CCD programme transitioned to the new CDLI Partnership.,01/05/2010,01/04/2020,The programme closed early and has transitioned into the new arrangement. ,Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),ICT
75,Cyclamen Project,HO,Amber,"Cyclamen equipment provides the capability to detect and intercept, and thereby deter the illicit movement of radiological materials into the United Kingdom.  The Programme will deliver modernised Cyclamen capabilities that continue to safeguard the security of the UK. ",Exemption under Section 24 (National Security) and 31 (1) (Law Enforcement) of the Freedom of Information Act (2000),01/04/2014,01/04/2020,Exemption under Section 24 (National Security) and 31 (1) (Law Enforcement) of the Freedom of Information Act (2000),Exemption under Section 24 (National Security) and 31 (1) (Law Enforcement) of the Freedom of Information Act (2000),Exemption under Section 24 (National Security) and 31 (1) (Law Enforcement) of the Freedom of Information Act (2000),Exemption under Section 24 (National Security) and 31 (1) (Law Enforcement) of the Freedom of Information Act (2000),Exemption under Section 24 (National Security) and 31 (1) (Law Enforcement) of the Freedom of Information Act (2000),Exemption under Section 24 (National Security) and 31 (1) (Law Enforcement) of the Freedom of Information Act (2000),Exemption under Section 24 (National Security) and 31 (1) (Law Enforcement) of the Freedom of Information Act (2000),Government Transformation and Service Delivery
76,Digital Services at the Border (DSAB),HO,Amber,"To deliver digital services that will provide systems capable of transforming the way that Border Force and its partners operate. Digital Services at the Border (DSAB) is a major agile programme within the Border Systems Portfolio that is building functionality to transform the way the Home Office manages the United Kingdom Borders. The primary benefits of delivering DSAB are to: enhance the security of the UK; gather and act on data from those people and entities crossing the border, both inbound and out; and provide timely and accurate data to those who need to access/use it this will be achieved by replacing the current Warning Index Border Control, Produce RoRo targeting and intervention system that will allow better targeting of prohibited and restricted goods, along with the deployment of an enhanced advanced pre-travel system which will allow Border Force and  other stakeholders like the Police to identify and assess threats.","DSAB remains a challenging and complex programme within what is now a complex and ever changing environment, however progress has been made against the last IPA actions.  A refreshed Business Case is currently under development to be tabled at the Home Office Portfolio and Investment Committee on a date to be agreed to be agreed. ",12/02/2014,31/03/2019,The Advanced Freight Targeting Capability (AFTC) project is on target to close out at the end of Q1 19/20 having delivered and AFTC information system. The Border Crossing Release 3 now provides DSAB with full regional coverage.  Release R.04 is on target to go operational live towards end of the year in the Crown Data Centre. Advance Border Control capability has now be demonstrated to the business with very positive feedback and a plan is now under review to drive forward with this capability.,Ł52.60,Ł64.10,22%,Ł346.90,"The programme's original non-recurring Change costs baseline for 18/19 - initially set at Ł30m at the beginning of SR19, was increased to Ł40m at the beginning of 18/19 as a result of delivery slippage from prior financial year(s). This accounted for Ł10m of the Ł12m difference above. The remaining Ł2m is a forecast over spend for the 18/19 financial year, resulting from EU Exit reprioritisation (i.e. needing to bring forward some costs to meet EU Exit deadlines).","Forecast WLC have increased since the programme's inception - as of 18/19 overall actual expenditure remains below the WLC forecast, though said forecast deviated from baseline in onwards 17/18 [doesn't make sense does it mean in 17/18and onwards?]  as DSAB's budget was increased due to EU Exit priorities and delays in delivery of some milestones. These milestones were in turn impacted by delays with delivery of key dependencies outside the programme (e.g. the HO Crown Datacentre for Border Crossing).",ICT
77,Disclosure and Barring  Service (DBS) Programme,HO,Amber/Red,"To provide a new modernisation release for Barring and Disclosure that will unify operations, introduce electronic applications and referrals, and enable new services such as Basics and Barred List Checks.  ","IPA RAG rating reflects the commercial difficulties encountered in delivering the Disclosure release.  As a result DBS has informed (Tata Consultancy Services) TCS in September 2018 that the Disclosure release would present unacceptable risk to DBS and the TCS contract partially terminated as a result. Approval has been given by Home Office, Cabinet Office and Treasury to procure new suppliers to replace TCS and provide a period of stability for the DBS service.  Subsequently the programme has been granted formal approval to close in May 2019.",29/12/2010,31/12/2019,"Implementation of the Disclosure release of the Release 1 Programme has been cancelled, through formal partial termination of the TCS contract (see section on IPA RAG narrative above), and therefore there are no remaining R1 elements of the DBS Business Case.   ",Ł110.40,Ł172.00,56%,Ł785.70,"Higher activity levels impacted RDEL costs during 2018/19 which were not originally forecast in the Full Business Case (FBC) in 2014, however this cost is off-set by additional income received during the financial year.","Corporate activity levels and disclosure volumes are higher than originally planned which has increased costs. However, these are fully funded by increased income from product charges.",Government Transformation and Service Delivery
78,Emergency Services Mobile Communications Programme (ESMCP),HO,Amber/Red,"The Programme aims to replace the mobile communications service used by the 3 Emergency Services and other public safety users. This will be done with a new service called the 'Emergency Services Network' (ESN) which will operate over a 4G LTE commercial mobile network enhanced to meet the public safety requirements for coverage, functionality, availability and security

",The programme has been replanning and incremental delivery of ESN introduced. This was in response to continuing challenges with delivery and lack of user confidence. To proceed with the accepted phased delivery approach for ESN it has been necessary to update commercial arrangements with suppliers.,01/06/2011,31/12/2020,"The Programme is working through its revised schedule and has successful launched all planned products to time (Assure, Kodiak Demo over 4G and Connect Proof of Concept with Durham and Darlington FRS). The other core programme products will be delivered over the course of 2019 and 2020. The Programme has completed its review of the technical delivery plan and is now focussed on the operational evaluation and deployment planning with the User Organisations. An updated FBC will be issued in Q4 2019 to reflect these delivery plans and provide greater certainty around the Nation Shutdown date for Airwave of 31 December 2022.
",Ł773.87,Ł773.87,0%,"Ł5,058.63",Budget variance less than 5%,ESMCP will regularly review emerging whole life costs against the updated Financial Model and where necessary seek re-approval from the Sponsors and HM Treasury in line with the revised Full Business Case (FBC) due in Autumn 2019. ,Infrastructure and Construction
79,Home Office Biometrics (HOB) Programme,HO,Amber/Green,"Home Office wide convergence programme for biometrics within Government, covering border security, law enforcement and intelligence.",An independent review was completed in May 2018 in which the programme was awarded an Amber-Green rating.  The programme looked to address all actions recommended and a further independent review will take place in summer 2019.,01/04/2014,31/03/2020,"The Programme remains on track and continues to make good progress against the programme plan in place.  The programme will continue to monitor.

",Ł75.40,Ł75.40,0%,Ł842.37,Budget variance less than 5%,"The Ł75.3m cost for 18-19 programme spend, including run costs but excluding risk and optimism bias, has been taken from the latest programme business case, which was approved and baselined in June 2018. The next iteration of the business case will be due for approval in early 19-20.",ICT
80,Immigration Platform Technologies (IPT),HO,Amber,"The Immigration Platform Technologies (IPT) Programme is delivering the technology and information systems to support the immigration service now and in the future.
","The IPA RAG reflects the findings from an independent review.  The recommendations have been accepted by the programme and the programme is actively managing the risks identified including developing the forward Atlas roadmap, managing portfolio dependencies and work from the EU Exit workstream.  Regular updates on progress are provided to the programme board.
 



",01/04/2013,31/03/2017,"Access UK, the UKVI web-based application system, was delivered to its original scope in September 2018.  Part of the Atlas caseworking system was live in September 2018, but the roadmap updated for delivery of its remaining components taking into account earlier programme slippage, additional scope (arising from EU exit and Windrush) and lessons learned.  The programme end date of March 2019 is potentially at risk, owing to the emerging pressures.",Ł40.70,Ł50.70,25%,Ł264.95,"The IPT Programme budget for 2018/2019 is under review with an emerging pressure of cŁ10m in 18/19 (in part attributable to new scope from EU exit and Windrush).  Additional funding will be requested from the Home Office Portfolio and Investment Committee once the pressure is confirmed.  

","If the emerging Ł10m pressure is confirmed, the whole life cost budget will be considered by the Home Office Portfolio and Investment Committee.",ICT
81,Metis Programme,HO,Amber/Red,"It is proposed that the Home Office move to an updated Enterprise Resource Planning tool (ERP) and a common shared service model to provide transactional human resource (HR), finance (including payroll) and procurement services, in full alignment with the Cabinet Office Next Generation Shared Service strategic plan (NGSS) . The NGSS plan looks to operate a Crown Oversight Function that works with departments to deliver improvements in the quality of service and reduction in the operating costs of shared services
",The programme remains on track for delivery but with schedule concerns relating to testing. The programme is working with suppliers to address  this to minimise the impact to schedule.,01/09/2016,01/06/2019,"The programme successfully completed design work for Phase 1 and completed testing of the solution. As a result of defects that surfaced in testing the programme extended the testing phase which impacted Phase 1 go-live. For Phase 2 activity design workshops are underway.  Subsequently the Programme successfully delivered Phase 1 to the Department in December 2018.
",Ł53.30,Ł56.12,5%,Ł290.53,Budget variance less than 5%,The Programme is currently running within the whole life costs approved by Cabinet Office and the Home Office Portfolio and Investment Committee. ,ICT
82,National Law Enforcement Data Programme (NLEDP),HO,Amber/Red,The National Law Enforcement Data Programme (NLEDP) aims to replace the current Police National Computer (PNC) and Police National Database (PND) systems with one modernised solution: the Law Enforcement Data Service (LEDS).,"An independent review rated the programme Red last May.  A subsequent action plan was published in June to address the non-conformities.  This includes weekly Programme Director meetings and the initiation of a number of assurance activities across the programme from an assessment of the build work to date, the current baseline of the programme (including governance and controls), and a review of the estimates for full delivery of the programme. The Programme is conducting a detailed review of its delivery approach and the Programme structure required to deliver its objectives and deliver efficiency savings. This work will drive revisions to the current Programme plan, business case and resource profile.  The business case is being revised in light of the above and indications are that the NPV will remain positive compared to the 'do minimum' approach.",01/04/2014,31/03/2020,"The Programme has agreed a series of recommendations to address affordability and deliverability challenges. It is working through them in advance of a reassessment. The Programme will ensure that essential enabling work will continue but other development work and supporting workstream activity may be subject to changes to scope and timescale based on the revised priorities. If the Programme changes its delivery approach to fit funding constraints, longer term delivery dates may move significantly.",Ł67.50,Ł82.10,22%,Ł469.40,The Baseline was agreed in 2017.  The forecast represents an update to the business case in 2018 in response to scope increases and additional build costs following the completion of the functional analysis of the current systems.  The Programme's replanning activity continues to ensure that delivery in-year is within this envelope.,"The combined future Programme and LEDS run costs (excluding inflation but including optimism bias) totals Ł373m to the end of FY30/31 (this figure excludes PNC and PND run costs for the investment appraisal period). This is a substantial investment but is far less than the comparative cost of maintaining the current systems, at a total cost of Ł594m over the same period. This is before additional benefits from the new system are considered. Ongoing replanning work may change these figures, as both the planned approach and the forecast costs of maintaining the current systems are under review. However, such is the delta between the two options that it would require a seismic shift in delivery cost to change the economic viability of the Programme.",ICT
83,Smarter Working Programme (SWP),HO,Amber,"The Smarter Working Programme was established to enable new ways of working across the Home Office through transformation of people, technology and workplace whilst reducing cost to the taxpayer.

","The programme successfully closed 31 July 2018,  with a number of functions transferred to Business as Usual.  The programme closed early and under budget.",28/10/2015,31/03/2020,"The programme successfully closed 31 July 2018,  ahead of schedule.",Ł25.60,Ł4.82,-81%,Ł144.50,"The programme successfully closed 31 July 2018, under budget.","The programme successfully closed 31 July 2018, under budget.",Government Transformation and Service Delivery
84,Technology Platforms for Tomorrow (TPT),HO,Amber,The programme will facilitate an exit from the overarching Fujitsu IT2000 contract. To replace these contracted services through modernisation of enterprise-wide user services; cost reduction in the disaggregation and replacement of a single supplier contract with appropriate service components.,"The programme RAG rating reflects the overall progress made and the risks remaining in the final stage of delivery.  The programme has two key outputs outstanding: conclusion of Microsoft Office 365 migration and the decommissioning of the existing IT2000 contract, both of which carry risk and strategic dependencies which are being managed.",01/02/2014,31/03/2019,"Bulk migration to Windows 10 devices was completed as expected in September 2018. IT2000 exit plan is developing options for a reduced risk exit from the Fujitsu data centre. Dependencies, finance and the appetite for business change are all pressures, but developments in the stand up of product development and BAU support teams are progressing well which will ultimately facilitate TPT programme closure. ",Ł70.32,Ł76.50,9%,Ł592.07,"The B/F variance recorded is as a result of a refreshed programme business case in September 2018.  The major changes are: a reduction of the new business as usual (BAU) run costs due to delays in implementation, offset by ongoing recurring costs of their IT2000 equivalent. Increases for both CDEL and RDEL Programme costs are forecast for the remainder of 2018-19 and into 2019-20 to complete Programme delivery.","Total Baseline whole life costs of Ł592M which include one off costs, recurring new costs and recurring old costs.  The refresh of the Programme Business case in 2018 resulted in a reduction of the recurring new costs due to delays in implementation offset by recurring old costs. ",ICT
85,A400M,MOD,Amber,The A400M is a versatile airlifter able to perform and combine two types of duty: tactical missions directly to the point of need and long range strategic/logistic missions.,"The A400M Programme is reaching the conclusion of a Global Re-Baselining. The outcome is looking positive with a commitment from industry to deliver the contracted performance. Aircraft availability poses an immediate challenge but actions are in hand to improve the picture - though this will take time. Hence, the delivery confidence assessment remains unchanged at Amber.",17/05/2000,31/03/2023,The capability delivery schedule is subject to some risk as a result of poor aircraft availability. The delivery of the last 2 aircraft have been confirmed as moving to later dates. This will result in the aircraft being used to de-risk minor upgrades that will be brought into service before the final operating standard is delivered.,Ł118.42,Ł95.29,-20%,"Ł3,394.89"," The key activities driving the variance are as follows;

Production: Forecast reduction due to efficiency trials at Woodbridge, improved contractor performance, and revised estimate of costs for programme trials. Additionally there have been front line activities to review and reduce the forecast costs.

Support: Efficiencies in the support contract have resulted in a decrease in the forecast. There has been an improvement in contractor performance - early delivery of engine spares.

Training: Firm contract costs have revised the forecast. Front line efficiency reviews have deferred activity.

Forex rate fluctuations has impacted all three areas.
","While changes have been made to the delivery, and therefore funding profile, these movements are within the whole life costs of the programme - changes are negligible.",Military Capability
