,project_name,Department,"IPA Delivery Confidence Assessment
(A Delivery Confidence Assessment of the project at a fixed point in time, using a five-point scale, Red  Amber/Red  Amber  Amber/Green  Green; definitions in the MPA Annual Report)",Description / Aims,Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date
(Latest approved start date)","Project - End Date
(Latest approved end date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)","2016/17 TOTAL Baseline Łm
(including Non-Government costs)","2016/17 TOTAL Forecast Łm
(including Non-Government costs)",2016/2017 Variance %age,"Whole Life Cost TOTAL Baseline Łm
(including Non-Government costs)","Departmental narrative on  budget/forecast variance for 2016/17
(if variance is more than 5%)",Departmental Narrative on Budgeted Whole Life Costs
73,Hosting,DWP,Amber,"DWPs critical applications are hosted by Hewlett Packard Enterprise (HPE) under the Standard Services Business Allocation (SSBA) Hosting Services contract. 

The Hosting Services Refresh Programme has been established to: deliver resilient data centre facilities; deliver a modern flexible cloud hosting environment; undertake the on-going refresh of DWPs ageing infrastructure assets; transition from the current SSBA Hosting Services contract to flexible delivery arrangements, which will be used for the on-going business as usual technology refresh. 

In exiting the SSBA Hosting Services contract, the Department will take over responsibility for the operation of the technology infrastructure and services through providers. The refresh and migration of Hosting Services will deliver both the DWP Data Centre facilities via governments Crown Hosting Service (CHS), and the platform services to enable the transition of the Departments critical ageing application infrastructure to new fully supported modern infrastructure and services.","The Programme has made good progress during 2016/17, with management focus on key activity to ensure the Programme continues on track.

Build activity has completed in the Data Centres.

Close management attention is focused on the on-going Business as Usual refresh activities to migrate services.
 
",30/03/2016,08/02/2018,"The programme is has delivered the first 2 cycles of refresh:
 Customer Information Systems remediation; and
 Core infrastructure build. ",Ł287.97,Ł241.39,-16%,"Ł1,187.67",The programme has driven out efficiencies through design and commercial negotiation.  It has achieved an in year reduction while remaining on track to deliver by key dates.  ,Whole life costs include those costs incurred under existing contracts during the transition to new arrangements.  
74,ABUJA New Office and Residence,FCO,Amber,"To provide a secure modern fit for purpose HMG office compound for both BHC and DFID in Abuja, Nigeria.  ","Amber is appropriate at this stage in the project given the challenges with achieving the required quality of workmanship in Nigeria using local labour. Additional exPat supervision and UK supplier input has been procured to support the main contractor with the remainder of the works and completion of the construction works is now set for end 2016. Subject to fit out, occupation will follow in the first part of 2017",01/01/2011,01/12/2017,On schedule,Ł13.40,Ł13.70,2%,Ł46.00,Budget variance less than 5%,Whole life costs remain as reported in the last annual report and in line with budget approvals.
75,Movement of Personal Effects Contract,FCO,Amber/Green,"To provide the continuation of the movement of personal effects (e.g. Heavy Baggage, UAF, Car Freight) to HMG staff and their dependents posted overseas from September 2016","Agree with DCA rating. We have continued to drive this project forward, engaging the supplier and Whitehall partners post contract-signature to ensure early benefit realisation.  A further IPA review took place in March 2017, with an amber-green DCA and a recommendation to close the project and remove it from the GMPP.",06/07/2015,31/03/2017,Contract signed on time in August 2016,Ł12.50,Ł12.50,0%,Ł62.50,Budget variance less than 5%,"Predicted annual project costs for the FCO are Ł8.5 million. Full potential 5 year costs from 2016 - 2021  (3 years, +1 +1) for the FCO are Ł42.5 million. A cross- whitehall contract total cost could be Ł12.5 (per annum), Ł37. 5 (over 5 years)."
76,Technology Overhaul,FCO,Amber," Providing reliable, resilient and easy to use technology across our global network.
 Enabling mobile and flexible working, Official where possible, Official-Sensitive where really necessary.
 Providing customer interaction and service provisions which are digital by default, delivering information and knowledge management capabilities, encouraging innovation and a culture of working together.","Part 1 of the Programme FBC approved by HMT/CO.  
Device deployment approach agreed with key suppliers.   
Renewed focus on business transformation including additional resources for Learning and Development, Engagement and Communications teams.
We are working to mitigate our top risks that relate to delivering the business need of enduring cultural and behavioural change, overall affordability, potential postponement of software deployment caused by delays to required IT infrastructure changes, and  the delivery complexity of the Devices project and its effect on timelines.
",01/11/2015,31/03/2018,Deployment of Devices (Laptops and Desktops) will start later than planned. Accelerated deployment plan will see programme complete overseas deployment in 9 months rather than 18. ,Ł38.00,Ł29.60,-22%,Ł105.40,The commercial process has taken longer than planned which has meant a reprofiling of approx Ł8m from 2016/17 to 2017/18.  This does not impact delivery although it does have an impact on NPV.  ,"In December 2015 the FCO Board of Management approved the full scope of Tech Overhaul and a budget envelope of Ł105.5m. 

The overall cost of the Programme has not changed."
77,UKERP,FCO,Amber,The project supports the wider Cabinet Office strategy of consolidating the HMG Estate in Central London in KCS.  The project will deliver savings from 2016/17 in operating costs and promotes Diplomatic Excellence.,"Exit Review has now taken place and the project received an Amber DCA. Problems encountered by the main contractor in delivering specialist aspects of the design did delay construction delivery, although completion was achieved by end of March 2016. OAB was handed back to GPU on programme and all staff are now based in KCS.",01/06/2011,01/08/2015,Construction completion delayed by main contractor,Ł0.00,Ł0.50,Either zero or no Baseline and/or Forecast,Ł65.00,"Delays caused by main contractor in 2015 have meant the FCO has had to draw on the risk allowance to cover costs to the FCO. This means the project has come close to its whole life cost, but is still within it.",Whole life costs remain within the approved budget
78,Making Tax Digital for Individuals,HMRC,Amber,"Delivery of the Making Tax Digital for Individuals Programme is a key building block in HMRCs transformation.  It is the biggest change for individual taxpayers in a generation and is a vital part of moving to multi-channel digital delivery, supporting greater real time working and allowing risk and compliance activity to move upstream. It is the vehicle through which much of the Governments Making Tax Digital agenda will be delivered. Ultimately the work of the Programme over this Spending Review period could provide the platform to allow the Personal Tax Account (""PTA"") to become the digital front door for Government, opening up a host of opportunities to improve customer experience with Government as a whole through modernised systems and processes supporting the move to real time working and abolish the tax return. ",The delivery confidence assessment for the Programme is Amber.  This reflects the delivery confidence assessment made by IPA at the July 2016 Programme Validation Review.  The Programme uses a suite of Key Performance Indicators across a range of disciplines to assess delivery confidence on a monthly basis. The Programme have taken steps to ensure it has sufficient capacity and capability to deliver its Business Case.,01/04/2016,31/03/2021,Data not provided,Ł51.50,Ł51.50,0%,Ł205.62,Budget varience less than 5%,"In accordance with Cabinet Office Infrastructure and Projects Authority (IPA) Data Guidance and Definitions governing the quarter two of 2016/17, Whole Life Costs (WLC) total baseline is the summation of resource (RDEL), capital (CDEL), and non-government expenditure, for the period covered by the latest HM Treasury Approval Point/Business Case. The resource and capital cost is made up of three constituent categories: One-off Investment in Change, New Recurring Costs, and Old Recurring Costs."
79,Building Our Future Locations Programme ,HMRC,Amber/Red,"This Programme by 2020-21 will replace HMRCs current 170 offices with 13 new Regional Centres, 5 transitional sites, 4 Specialist Sites and a London Headquarters serving every part of the UK. This will enable HMRC to create modern, adaptable work spaces that will support the digital infrastructure, staff collaboration and development that HMRC requires to modernise.The Programme will support delivery of future efficiency savings through the extended roll out of the ten-year modernisation programme.This Programme also supports the wider Government agenda to transform the Civil Service estate;  all of our chosen locations for HMRC Regional Centres align with the siting of Government Hubs.","Key Factors in Delivery Confidence Assessment:
 The Programme is large with a very challenging schedule involving the creation of 13 regional centres and the migration of 40,000 staff over 5 years.  
 In September 2016, the Programme Board reviewed a refreshed Strategic Outline Case (SOC), which recommended the re-baselining of cost, schedule and benefits reflecting changes to initial forecasts. The Board provided guidance and a draft of the SOC was considered by HMRCs Investment Committee in October 2016.                       
 Work is in hand to assess the impact of the revised schedule on business outputs and our people. 
 Since September a significant amount of risk mitigation and cost reduction work has been undertaken to mitigate major programme risks and to address affordability concerns",05/01/2016,05/04/2021,Data not provided,Ł310.20,Ł340.70,10%,"Ł2,099.30","At 16/17 Q2, the variance between baseline, which was based on the SR15 bid, and forecast was driven in the main by understated legacy accommodation running costs of some Ł 26 m.   
Since Q2 legacy accommodation running costs have been reviewed in depth to provide much greater confidence in the figures.  In addition investment cost assumptions have been refined leading to an improved understanding of underpinning costs and some reductions in investment costs. 
As a result of this work, the Programme has a much better understanding of costs as it progresses towards approvals.","In accordance with Cabinet Office Infrastructure and Projects Authority (IPA) Data Guidance and Definitions governing the quarter two of 2016/17, Whole Life Costs (WLC) total baseline is the summation of resource (RDEL), capital (CDEL), and non-government expenditure, for the period covered by the latest HM Treasury Approval Point/Business Case. The resource and capital cost is made up of three constituent categories: One-off Investment in Change, New Recurring Costs, and Old Recurring Costs."
80,Columbus (formerly Aspire Replacement Programme),HMRC,Amber/Green,"To manage the safe exit of HMRC's ASPIRE IT contract that ends in June 2017. The Programme's Aims and Objectives are: The Programme aim for the scope reflected in the Business Case is to: achieve a safe transition from the ASPIRE contract to the new HMRC IT operating and sourcing model, enabling HMRCs digital and data transformation and deliver the benefits of the new model thereafter.The Programme objectives for the scope reflected in the Business Case are to: Ensure there is continuity of IT supply to the Department and its customers once the current contractual arrangements through the ASPIRE contracts end in June 2017; Ensure that new sourcing arrangements provide better value for money, drive out savings compared to current baseline and are market aligned and consistent with Government standards for ICT contracts and IT delivery; Ensure  IT in HMRC is transformed to enable HMRCs digital and data transformation and to ensure that changes can be made more flexibly and at greater speed through a new target Operating and Commercial Model and re-engineered processes; Ensure HMRC has the capacity and capability to operate its new IT Operating and Commercial Model on a sustainable basis; Ensure the transition from ASPIRE contracts to the new Operating Model is as smooth as possible with minimal disruption to service (same or better SLAs) and project delivery (time, cost, quality as agreed for each project) during the transition period.  ","The Programme is reporting an overall DCA of Amber for this quarter.  This is based on the fact that the Programme has successfully put controls in place and progressed actions to mitigate and reduce the RAG status of Programme risks throughout the quarter.

The Chancellor approved the Programme's Business Case in early February 2016 and consequently the Programme was able to sign exit contracts with the main Aspire suppliers on 29th March 2016.  The Programme therefore submits a continuing DCA of Amber for the quarter.  This is supported by the Programme being externally assessed by Infrastructure & Projects Authority (IPA) in early September 2016 ahead of the Wave 2 insource.  The IPA assessment concluded with an Amber/Green rating for Wave 2.  Columbus Programme Board has endorsed this latest IPA delivery assessment.",01/01/2014,31/12/2021,Data not provided,Ł894.00,Ł894.00,0%,"Ł6,310.00",Budget varience less than 5%,"In accordance with Cabinet Office Infrastructure and Projects Authority (IPA) Data Guidance and Definitions governing the quarter two of 2016/17, Whole Life Costs (WLC) total baseline is the summation of resource (RDEL), capital (CDEL), and non-government expenditure, for the period covered by the latest HM Treasury Approval Point/Business Case. The resource and capital cost is made up of three constituent categories: One-off Investment in Change, New Recurring Costs, and Old Recurring Costs."
81,CUSTOMS DECLARATION SERVICES (CDS) Programme,HMRC,Amber,"HMRC is responsible for delivering an end to end declaration processing service for imports to and exports from the UK.  The current service delivery system is the Customs Handling of Import and Export Freight service (CHIEF).  Each year this business critical service handles c.60 million declarations and collects Ł34bn revenue, set in a context of an international trade supply chain that is worth Ł700bn p.a. to the UK economy. This is a business critical declaration processing system handling movements of 3rd country (non-EU) goods. CHIEF operates real time, 24 hours per day, 365 days of the year. The current CHIEF system is more than 23 years old and based on aging Virtual Machine Environment (VME) technology which is becoming difficult to maintain. The service has reached a point where any changes will be both expensive and technically difficult to implement.  HMRC are seeking to replace CHIEF with a robust, scalable set of import /export services, capable of delivering this critical function into the future.  ","Successful delivery of CDS appears feasible, subject to continued management of key risks and issues.  There are mitigating actions in place and we are actively managing these.   We are using an agile methodology (scaled Agile framework) to incrementally develop system functionality.  This means that CDS will be a more flexible service than CHIEF and will provide greater agility to make system changes.",16/10/2013,31/12/2018,Data not provided,Ł36.51,Ł31.43,-14%,Ł117.06,The variance between 2016/17 Baseline and Forecast is due to lower Declaration Processing COTS package costs and a reduced level of resource resulting from the procurement taking longer than planned.  ,"In accordance with Cabinet Office Infrastructure and Projects Authority (IPA) Data Guidance and Definitions governing the quarter two of 2016/17, Whole Life Costs (WLC) total baseline is the summation of resource (RDEL), capital (CDEL), and non-government expenditure, for the period covered by the latest HM Treasury Approval Point/Business Case. The resource and capital cost is made up of three constituent categories: One-off Investment in Change, New Recurring Costs, and Old Recurring Costs."
82,Making Tax Digital for Business,HMRC,Amber/Red,"Delivering requirements to modernise IT architecture, bring tax reporting closer to the point of transaction, removing the need for customers to complete tax-specific returns and/or provide information HMRC already holds, enhancing digital services for businesses and agents and delivering a better customer experience.",This RAG status is determined by the Programme Board and reflects a number of the Programme's key performance indicators and constituent projects together with: the overall number and complex dependencies of the constituent parts; challenges in agreeing a design which meets both customer needs and legal requirements effectively; and the scale of the challenge in managing stakeholder reactions and successfully landing the required primary legislation in Finance Bill  2017.,01/04/2016,31/03/2021,Data not provided,Ł48.00,Ł48.00,0%,Ł227.00,Budget varience less than 5%,"In accordance with Cabinet Office Infrastructure and Projects Authority (IPA) Data Guidance and Definitions governing the quarter two of 2016/17, Whole Life Costs (WLC) total baseline is the summation of resource (RDEL), capital (CDEL), and non-government expenditure, for the period covered by the latest HM Treasury Approval Point/Business Case. The resource and capital cost is made up of three constituent categories: One-off Investment in Change, New Recurring Costs, and Old Recurring Costs."
83,Tax-Free Childcare,HMRC,Amber,"Under TFC the intention is to provide childcare accounts for all eligible children for which the first Ł8,000 deposited by parents or others is topped up by government by 20p for every 80p deposited, up to a maximum of Ł2,000 per child per year. The TFC programme will design and implement the TFC scheme. Accountability for TFC is divided between HMRC and HM Treasury (HMT). HMRC are responsible for TFC delivery and for outcomes on customer service such as correct payments and data security. HMT have responsibility for ensuring the scheme delivers its intended policy outcomes and for advising ministers on any further policy changes needed to ensure the outcomes continue to be achieved. HMRC will also deliver, for DfE who are the accountable Department, the functionality to support the enhanced 30 hours free childcare provision for 3 and 4 year olds. ",Tax-Free Childcare received approval of the Full Business Case by Chief Secretary to the Treasury (CST) and has successfully launched the Childcare Provider Service. The main driver for the RAG status is the challenging delivery timeline prior to the private beta Trial scheduled for November 2016,10/09/2013,30/06/2018,Data not provided,Ł65.64,Ł56.78,-14%,Ł356.86,"The 2016/17 budget of Ł65.6m is taken from the Tax-Free ChildCare (TFC) Full Business Case (FBC) version 2 approved by HMT & Cabinet Office in March 2016.  Forecast spend for 2016/17 is below budget as planned spend on Identity Assurance contingency, Marketing and Assisted Digital is no longer required.  ","In accordance with Cabinet Office Infrastructure and Projects Authority (IPA) Data Guidance and Definitions governing the quarter two of 2016/17, Whole Life Costs (WLC) total baseline is the summation of resource (RDEL), capital (CDEL), and non-government expenditure, for the period covered by the latest HM Treasury Approval Point/Business Case. The resource and capital cost is made up of three constituent categories: One-off Investment in Change, New Recurring Costs, and Old Recurring Costs."
84,Communications Capabilities Development (CCD) Programme,HO,Amber/Green,"In a world of internet enabled communication, ensure that the police, wider law enforcement, security and intelligence agencies can lawfully obtain, manage and use communications data and intercepted content to: detect, prevent and disrupt crime; protect the public and save lives.",The latest Infrastructure and projects Authority (IPA) review of the CCD programme was conducted in September 2016. The IPA review found that the programme remains broadly on track to deliver against its key delivery milestones. This good progress was reflected in the IPA review which rated the programme as Amber/Green.,01/05/2010,01/04/2020,Over the Spending Review period the Programme is scheduled to transition to a new sustainment organisation.  Details of this are in development.,Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),Exempt under Section 24 of the Freedom of Information Act 2000 (National Security)
85,National Law Enforcement Data Programme,HO,Amber/Red,The National Law Enforcement Data Programme (NLEDP) aims to replace the current Police National Computer (PNC) and Police National Database (PND) systems with one modernised solution: the Law Enforcement Data Service (LEDS).,"Given the complexity the programme faces, detailed planning is still ongoing meaning schedules are still being firmed up. Significant progress has been made in this quarter fixing the scope of Tranche 1 which is supporting the planning process. NLEDP has an extensive stakeholder group and there is significant work still to do to build on user confidence on transitioning from both PNC and PND. Facilities are in place now to walk stakeholders through the full programme approach building confidence and support whilst work is still progressing to ensure a robust delivery pipeline is developed. The OCIP team are also now up to full complement and engagement across the wide stakeholder community is increasing significantly.",01/04/2014,31/03/2020,"NLEDP is tracking to schedule, this remains challenging with appropriate controls in place to manage.",Ł54.70,Ł54.70,0%,Ł518.30,"Budget variance less than 5%
","In return for an investment of Ł90m, running costs are expected to reduce from current levels of around Ł37.5m to around Ł19.8m for the new service from 2022. The new services will be rolled out in stages, enabling the early release of cost savings on existing systems.

The investment comprises Ł74.1m of CDEL, Ł12.1m of one-off RDEL and Ł3.8m of run costs for test/pre-production environments ahead of go live for the first stage of the new services. "
86,Adelphi Modernisation Programme,HO,Reset,"It is proposed that the Home Office move to a updated ERP and a common shared service model to provide transactional human resource (HR), finance (including payroll) and procurement  services, in full alignment with the Cabinet Office Next Generation Shared Service strategic plan (NGSS) . THe NGSS plan looks to  operate a Crown Oversight Function that works with departments to deliver improvements in the quality of service and reduction in the operating costs of shared services","In March the  Home Office commenced discussions  with Cabinet Office and SSCL in which it was agreed that the Home Office programme would be reset. Following completion of commercial negotiations  in October the Home Office began to explore a new technology path with different  timescales, costs and benefits. ",01/09/2016,01/06/2019,Due to the reset of  the business case. New implementation approaches and  timescales were being explored as part of business case development. ,Ł18.03,Ł18.03,0%,Ł262.81,The budget for 16/17  has remained on track whilst the programme has worked to  define a new cost  profile. ,In August the Programme submitted an Outline Business Case for approval on which these new  costs were based. It was recognised that in order to make an evolutionary leap in technology the Home Office would need to provide additional investment. 
87,Cyclamen Programme,HO,Amber/Red,"Cyclamen equipment provides the capability to detect and intercept, and thereby deter the illcit movement of radiological materials into the United Kingdom.  The Programme will deliver modernised Cyclamen capabilities that continue to safeguard the security of the UK. ","Exempt under Section 24 of the Freedom of Information Act 2000 (National Security)

Exempt under Section 31 (1) of the Freedom of Information Act 2000 (Law Enforcement)",01/04/2014,01/04/2021,"Exempt under Section 24 of the Freedom of Information Act 2000 (National Security)

Exempt under Section 31 (1) of the Freedom of Information Act 2000 (Law Enforcement)","Exempt under Section 24 of the Freedom of Information Act 2000 (National Security)

Exempt under Section 31 (1) of the Freedom of Information Act 2000 (Law Enforcement)","Exempt under Section 24 of the Freedom of Information Act 2000 (National Security)

Exempt under Section 31 (1) of the Freedom of Information Act 2000 (Law Enforcement)","Exempt under Section 24 of the Freedom of Information Act 2000 (National Security)

Exempt under Section 31 (1) of the Freedom of Information Act 2000 (Law Enforcement)","Exempt under Section 24 of the Freedom of Information Act 2000 (National Security)

Exempt under Section 31 (1) of the Freedom of Information Act 2000 (Law Enforcement)","Exempt under Section 24 of the Freedom of Information Act 2000 (National Security)

Exempt under Section 31 (1) of the Freedom of Information Act 2000 (Law Enforcement)","Exempt under Section 24 of the Freedom of Information Act 2000 (National Security)

Exempt under Section 31 (1) of the Freedom of Information Act 2000 (Law Enforcement)"
88,Disclosure and Barring  Service (DBS) Programme,HO,Amber/Red,"A new modernisation release for Barring and Disclosure that will unify operations, introduce electronic applications and referrals, and enable new services such as Basics.",The project delivery date was revised  to a 2017 implementation. Home Office and IPA are engaged and providing assitance - with delivery stakeholders and suppliers reviewing the revised plan.  ,29/12/2010,31/12/2017,The project delivery date was revised  to a 2017 implementation. Home Office and IPA are engaged and providing assitance - with delivery stakeholders and suppliers reviewing the revised plan.  ,Ł113.50,Ł154.30,36%,Ł785.70,Delays in project implementation have led to additional CDEL and RDEL costs  during 2016/17 which were not originally forecast and will be off-set by income.,"Corporate activity levels and disclosure volumes are higher than originally planned which has increased costs, however these are fully funded by increased income from product charges."
89,Digital Services at the Border (DSaB),HO,Amber/Red,To deliver digital services that will provide systems capable of transforming the way that Border Force and its partners operate.,"The September Programme Assessment  review identified encouraging signs of progress and since then, further substantial progress has been made in addressing the recommendations raised.",12/02/2014,31/03/2019,The pilot successfully commenced in July 2016. The Programme has re-evaluated its plans and will now start the process of roll-out in July 2017. This is a less aggressive roll out plan than was previously proposed.,Ł27.00,Ł26.20,-3%,Ł341.40,"Budget variance less than 5%
","The DSaB financial model includes Optimism Bias, VAT, inflation and business as usual costs.   Following new guidance, the whole life costs include the post delivery running costs for 10 years post closure  (2028-29), which accounts for the increase in whole life costs.  There is no significant change in costs up to programme closure."
90,Emergency Services Mobile Communications Programme (ESMCP),HO,Amber,"The Programme aims to replace the mobile communications service used by the 3 Emergency Services and other public safety users with an Emergency Services Network (ESN) which is provided on a commercial mobile network enhanced to meet the public safety requirements for coverage, functionality, availability and security. ",The RAG rating reflects: the pan-government complexity of ESMCP with a broad stakeholder and user community and the need to move to a new technology on a commercial network at a time of significant restructuring among the commercial providers. The Full Business Case (FBC) received cross government approval in November and the Programme successfully awarded contracts on the main procurements on 8 December 2015. The Programme has now moved into the mobilisation phase. KBR and EE have both met some of their deliverables and have been issued with Milestone Achievement Certificates for Effective Dates (ED) + 5 and 8 months. ,01/06/2011,31/12/2020,The Full Business Case (FBC) received cross government approval in November and the Programme successfully awarded contracts on the main procurements on 8 December 2015. The Programme has now moved into the mobilisation phase. KBR and EE have both met some of their deliverables and have been issued with Milestone Achievement Certificates for Effective Dates (ED) + 5 and 8 months. Transition to the ESN Service is due to be completed by 31 December 2019. ,Ł89.00,Ł89.00,0%,"Ł4,861.70","Budget variance less than 5%
","The FBC has been approved by HM Treasury, the whole life costs have now been approved."
91,Home Office Biometrics (HOB) Programme,HO,Amber/Green,"Home Office wide convergence programme for biometrics within Government, covering border security, law enforcement and intelligence.","The Programme has been actively involved in ensuring its alignment with the Biometric Strategy. This is currently going through the approvals process. The Programme has arranged for regular reviews of the Strategy once approved. 

Programme dependencies have now been mapped out and are being actively managed through a dedicated PMO resource. The HOB stakeholder engagement strategy was reviewed and approved by the Programme Board in November 2016. 

The Strategic Mobile project scope now includes Police, Borders and Immigration Enforcement. ",01/04/2014,31/12/2019,The Programme plan is being refreshed to ensure strategic projects are focussed to meet commercial obligations and delivery of capability to customers.,Ł108.30,Ł108.30,0%,Ł584.40,"Budget variance less than 5%
",The significant difference in whole life costs for the Programme is due to the exclusion of Optimism Bias in the later return.
92,Immigration Platform Technologies (IPT),HO,Amber,The Immigration Platform Technologies (IPT) Programme is delivering the technology and information systems to support the immigration service now and in the future.,"A formal review of IPT was performed by the Infrastructure and Projects Authority (IPA) in May 2016.  A further independent review was undertaken in July 2016 and the IPA conducted an Assurance of Action Plan (AAP) review in August 2016, following which the status of the programme was assessed by the IPA as Amber.

The recommendations made by the IPA and the Independant Review were accepted by IPT and progress of the associated actions is reviewed by the Programme Board on a monthly basis.",01/04/2013,31/03/2017,"Some slippage in interim deliverables.   A revised roadmap taking into account slipagge, additional work and lessons learned has been agreed by the Board.  The programme continues to deliver agile business services into live operational use. ",Ł41.10,Ł80.50,96%,Ł208.80,"Spending in 2016/17 is broadly on track.  
 
The IPT programme was re-planned during Q2 and the revised plan was externally assured for delivery confidence.  The deliverables for 16/17 were agreed by the IPT Programme board and set out in the Programme Business Case and revised delivery plan. Additional funding was requested for 17/18 and 18/19 in light of the revised plan and this is reflected in the forecasts in the Q2 return, against the original baseline.  The revised Programme Business Case was approved by the Home Office Portfolio Investment Committee in July 2016 and submitted to the Treasury Approval Panel.  The Q2 return therefore reflects the additional internally approved funding in the forecasts but keeps the original baseline figures pending the outcome of the Treasury Approval Panel, hence the variance.",The whole life cost has been revised to reflect the revised delivery timetable. 
93,Smarter Working Programme,HO,Amber,"The Smarter Working Programme is enabling new ways of working across the Home Office  through transformation of people, technology and workplace whilst reducing cost to the taxpayer.",The Programme was awarded an Amber delivery confidence rating in the last Gateway review. It was described as a well-run programme that was currently managing delivery and risks in an effective fashion. An action plan has been put together to address the recommendations made which is being tracked by the Smarter Working Programme Board.,28/10/2015,31/03/2020,"Awaiting confirmation of 2 Marsham Street, Seacole Building tenancy agreement in advance of occupation end of 2017.",Ł41.40,Ł38.00,-8%,Ł128.15,Refurbishment of a single floor of both Apollo House and Lunar House has been planned to allow an agreed maximum price to be negotiated with the Contractor for the complete refurbishment works. This has resulted in a reduction in potential spend on the refurbishment in 16/17 but this was necessary to allow the Home Office to ensure that the total project was affordable before work commenced.,Whole life costs on target.
94,Technology Platforms for Tomorrow (TPT),HO,Amber,"The main IT supply contracts for the Home Office expire in Jan 2017 and the programme is disaggregating the existing IT service provision for the core Home Office taking responsibility for Systems and Service Integration, as well as ownership of other key IT elements, back in house in line with Cabinet Office strategy",The programme has delivered in a number of areas in networks and is well along the path of delivering the new Strategic Service Desk.  End User Services are running later than originally planned but the extension with the incumbent supplier (that has the option to run to April 2018 if required) has reduced the timescale delivery risk in this area,01/02/2014,31/10/2017,The programme has negotiated a contract with the incumbent supplier to extend a subset of the services beyond the handover period to maintain services until the rollout of the new devices is complete. The programme is on track to deliver within this extension period (the contract has the option to extend the services to April 2018 if required),Ł47.40,Ł47.60,0%,Ł374.60,"Budget variance less than 5%
",The whole life cost (WLC) forecast includes the cost of transitioning to new suppliers during the five years post transition as shorter G-Cloud contracts are let as part of the transition. The WLC have increased as dual systems are running for a longer period to support rollout and also as more detailed designs increase knowledge and certainty around the cost of the solutions
95,A400M,MoD,Amber,The A400M is a versatile airlifter able to perform and combine two types of duty: tactical missions directly to the point of need and long range strategic/logistic missions.,"The Programme remains on track to meet all outputs by the planned Programme closure date, but carries risk against certain capabilities.  Airbus Defence and Space are working to design an aircraft modification to rectify this issue. 

The cumulative effect of delays to aircraft deliveries and fleet-affecting technical issues (most notably in the Propeller Gearbox) have compressed timescales for testing of UK aerial delivery equipment.  In mitigation, the Programme Board continue to utilize UK equipment for Airbus Defence and Space core trial work when other nations are unable to fulfil their allotted commitment.  This has reduced some of the UKs test requirements.
",17/05/2000,31/03/2022,"The forecast end of the Programme remains unchanged.   The Transfer of Title of the UKs 11th aircraft took place on 13 Sep 16 and the Medium Term Support Contract on 30 Nov 16. This 10 year contract, with a 5 year firm price, will provide support at RAF Brize Norton, down-route and on deployed operations for the next 10 years.  The contract provides a far more comprehensive level of support to that provided by the initial entry into service contract and has taken into account learning and improvements from this first phase. However, aircraft availability and crew training has been affected by an issue with the aircrafts Propeller Gearbox.  This, combined with a software integration issue that affected the bespoke 4 aircraft UK retrofit project, delayed the Programme milestone associated with the ability to operate in non-benign environments (scheduled for Jun 16).  This was fully achieved in Feb 17, with an interim capability for 2 aircraft achieved in Nov 16. ",Ł274.39,Ł292.57,7%,"Ł3,614.94","In Year, the unfavourable programme variance of Ł18.2M is predominately attributable to Foreign  Exchange losses, the cost of which is scored to MOD centrally rather than to the programme or Air Domain.","The costs are broken down into the following areas: a. production of aircraft; b. Support costs (i. Airbus Defence and Space Support/Airframe Support (Airframe Medium Term Contract, Airframe Design Services Contract), ii. Engine Support (Engine medium Term Contract, maintenance Level 3 Contracts, Engine Design Services Contract), iii. other Support (inc DAS Support, Mission Planning Support and DE&S support and commodities), iv. Infrastructure Support; c. Training Costs; d. other minor projects.
Budget forecasts are considered to be mature and accurate; however, the strategy for the utilisation of Liquidated Damages (LDs) is still being considered, and the long term support costs arising from any capability insertions funded by LDs will need to be fully explored.
"
96,Airseeker,MoD,Amber/Green,To sustain the UK's airborne electronic surveillance capability previously provided by the Nimrod R1 aircraft.,"The AIRSEEKER Programme continues to deliver a world-leading Signals Intelligence (SIGINT) capability with tangible results being seen operationally. The third and final aircraft shortly will be delivered ahead of schedule, completing the fleet.  Full Operating Capability is on track to be declared December 2017, pending some Release to Service and Integrated Test, Evaluation and Acceptance work.

There are challenges surrounding manpower, particularly the recruitment and retention of appropriately-skilled Linguist personnel.  Crews are currently operating with fewer than the full complement of Linguists. However, a number of short-term mitigations, as well as a longer term strategy, are being developed.  Once these manpower issues are resolved, the programme
is a candidate for GMPP graduation 
",18/03/2010,01/04/2018,"The Programme is on schedule and although manpower issues have the potential to delay the FOC declaration, it is expected that FOC will be declared in December 2017. ",Ł91.41,Ł102.98,13%,Ł759.84,Budget variance of Ł11.6m (Ł3.2m RDEL and Ł8.4m CDEL)  is primarily attributable to the continuing foreign exchange rate volatility.  The current cost pressures are within approvals.,"Budgeted whole life costs for the AIRSEEKER Programme cover the delivery of 3 RIVET JOINT aircraft, associated Ground Equipment and modification to existing infrastructure, together with sustainment costs up to the programme Full Operating Capability of December 2017 and the closure of the Delivery Programme in April 2018.  This will deliver a rapidly deployable airborne capability configured to provide effect across the spectrum of operations until at least 2035."
