year;project_number;project_name;department;report_category;description_aims;colour_rating;rating_comment;start_date;end_date;schedule_comment;total_baseline;yearly_forecast;variance_comment;wlc_baseline_incl_NCG;budget_comment
2021;ONS_0002_1112-Q1;Census & Data Collection Transformation Programme;ONS;Government Transformation and Service Delivery;Delivering a successful 2021 Census, researching how to make it the last of its kind and transforming the work of ONS in how we collect, process, and analyse data.;Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: The programme has delivered the capability required for the main 2021 Census collection.  Teams continue to work in a flexible way to meet challenges to the Collection operation activity which will continue until autumn 2021.  The pre-processing operation is now up and running and build for statistical processing and outputs is well under way. We remain on track to deliver a successful census.

The wider transformation continues at pace, with population statistics transformation operating in parallel with Census, on track for building to the 2023 recommendation. Social survey and business statistics transformation also continue to make progress and with most build on census now complete resources are now able to be re-focussed.";2015-01-01;2025-03-31;"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 March  2025  . This is primarily due to the following factors: The Business Case for the programme was refreshed in August 2020.  There has been no change to the project end date. 

Benefits from the 2021 Census and wider Data Collection transformation remain on track for delivery by the agreed dates.

The Programme has an end date of 31 March 2025 marking the delivery of the final milestone relating to the assessment of the benefits of the 2021 Census.  The delivery of this will enable the Programme to fully close.";£268.30;£260.71;The budget variance is less than or equal to 5%. ;£906.00;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £905.59m to £906.00m. This is primarily due to the following factors: The Full Business Case refresh was completed in September 2020 and the Budgeted Whole Life Costs have remained at £906m to the nearest million.  The increase from £905.59m is in order to re-align with the original HM Treasury approval of £906m - there is no change to the overall funding position or projected costs.
2021;ONS_0003_2021-Q4;Integrated Data Programme;ONS;Government Transformation and Service Delivery;The Integrated Data Programme (IDP) aims to build a comprehensive data service, underpinned by a secure and trusted infrastructure, to enable Government to make best use of its own data assets.;Amber;"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: The IPA Gateway 3 Delivery Confidence Assessment was  Amber
 
The review identified four areas where additional activity, or specific focus from the leadership team, are necessary to ensure success, specifically:  increased cross-Whitehall engagement and buy-in; stakeholder understanding of  how benefits will be measured; early progressing of Platform supplier engagements; and clarity around proposals for Data Virtualisation.";2020-01-01;2025-03-31;The project end-date is 31 March 2025. This is primarily due to the following factors: The FBC proposed a phased approach to delivery, with functionality delivered and benefits released, year on year, and with full capability delivered by 31/03/2025.;£20.00;£15.50;The budget variance exceeds 5%. The design and scope of IDP have been developed significantly since OBC, with input from stakeholders across Government, and some spend (primarily on staff) has been deferred, to ensure the right skill and capacity profile is recruited.  This resulted in an underspend in the last year, but helped ensure that the programme is well placed to deliver the ambition set out in the FBC;£377.00;The projects Baseline Whole Life Cost is £377.00m. This is primarily due to the following factors: The total gross whole life cost of the programme, based on the recommended scope is £377m.  This cost incorporates the resource to develop and maintain the platform, data activity, analytic capability and service wrapper.
2021;DEFRA_0007_2021-Q1;Science Capability in Animal Health Programme;DEFRA;Infrastructure and Construction;The SCAH Programme sets out the Department for Environment, Food and Rural Affairs' (Defra's) plans for long-term investment in the Government's main animal health science facility. The re-development of the site infrastructure and associated transformation programme will secure and safeguard the critical animal health science capability, protecting the nation from the impacts of animal diseases in a cost effective way.;Amber/red;The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/red.This is primarily due to the following factors: Delivery Confidence is Amber-Red due to the likelihood of Programme cost exceeding its March 2020 budget allocation following development of more detailed plans for the new Science Hub. A new Programme Business Case, informed by a more comprehensive view of the change requirement, will form the basis for a re-baseline of cost, benefits and schedule. IPA validated this as a credible pathway to Green in December 2020.;2018-02-05;2029-06-30;The project end-date is 30 June 2029. This is primarily due to the following factors: A new schedule for the Programme Business Case will be informed by a more detailed understanding of the scheme requirements.;£38.00;£15.70;The budget variance exceeds 5%. The programme budget is expected to be in variance to the Outline Business Case baseline over its lifetime, which formed the basis of the Budget 2020 allocation.;£1,509.00;The projects Baseline Whole Life Cost is £1508.99m. This is primarily due to the following factors: The Project Whole Life costs is being updated and re-baselined as part of the Programme Business Case.
2021;DEFRA_0008_2021-Q1;Future Farming and Countryside Programme;DEFRA;Government Transformation and Service Delivery;By 2028, the Future Farming and Countryside Programme aims to deliver: 1) A renewed agricultural sector, producing healthy food for consumption at home and abroad, where farms can be profitable and economically sustainable without subsidy 2) Farming and the countryside contributing significantly to environmental goals including addressing climate change;Amber;The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: The Future Farming and Countryside Programme's Delivery Confidence Assessment remains Amber in line with the IPA Programme Assessment Review in August 2020.  The Programme has effectively responded to the recommendations from this Review and the Major Projects Review Group conditions, as set out in August/September 2020 respectively, and continues to increase delivery confidence. With active reprioritisation to mitigate the effects of ongoing Covid19 lockdown  impacts the Programme has successfully maintained progress against critical path delivery.  In November 2020, 'The Path to Sustainable Farming: An Agricultural Transition Plan', was published, setting out the vision for the future. Since then, the Programme has launched a pilot of the first of three environmental land management schemes, the Sustainable Farming Incentive, which is the first step on the road to truly sustainable farming.;2017-05-01;2028-12-31;"The project end-date is 31 December 2028. This is primarily due to the following factors: We are embarking on these ambitious and much needed reforms amid an uncertain wider economic and policy context for the agricultural sector, as we discuss new trade deals and develop policy around net zero. 
This presents challenges we will have to navigate carefully. We are taking a co-design, test and learn approach which means we will monitor how the programme is landing and adjust course as needed.";£2,701.09;£2,731.22;The budget variance is less than or equal to 5%. ;£24,629.59;"The projects Baseline Whole Life Cost is £24629.59m. This is primarily due to the following factors: Costs are split into two main sections, the projected payment streams to beneficiaries (scheme costs), as well as estimating the associated future delivery, programme support and one-off implementation costs to deliver the Future Farming & Countryside programme (administrative costs).

Scheme costs are linked to the quantification of the manifesto commitment to guarantee the current annual budget to farmers in every year of this Parliament. This includes Non-Gov costs in relation to EU funding that will still be accessible under the terms of the Withdrawal Agreement, which will be available during 20/21, 21/22 and 22/23.

Administrative costs are made up of scheme running costs, corporate service charges, depreciation charges, programme support costs and implementation costs."
2021;DEFRA_0009_2021-Q3;Bridgwater Barrier;DEFRA;Infrastructure and Construction;The Environment Agency are working in partnership with Sedgemoor District Council to deliver this project located on the Parrett Estuary at Bridgwater, Somerset.  The project will provide protection from tidal flooding to the town of Bridgwater and villages downstream.;Amber/Green;The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/Green.This is primarily due to the following factors: The outline business case has been approved by Defra Investment Committee and will shortly be submitted for HM Treasury approval. We await a decision from Defra on determination of the Transport an Works Act Order application (legal powers to construct);2014-03-01;2030-12-31;The project end-date is 31 December 2030. This is primarily due to the following factors: Project delivery within cost and programme forecasts. The key risk of the potential need for a Public Inquiry was mitigated by the ministerial decision to use the Written Representation process.  As a result, successful delivery of the project on time, agreed spend and quality appears achievable and there are no major outstanding issues that at this stage appear to threaten delivery significantly;£0.96;£0.96;The budget variance is less than or equal to 5%. ;£211.08;The projects Baseline Whole Life Cost is £211.08m. This is primarily due to the following factors: The Whole Life cash cost over the 100 year assessment period is £211m
2021;DEFRA_0010_2021-Q3;Leeds Phase 2 Flood Scheme;DEFRA;Infrastructure and Construction;LFAS2 will reduce the risk of flooding across Leeds using a catchment wide approach. The aim of the scheme is to deliver a 1 in 200 year level of protection (plus climate change allowance) through the use of linear flood defences, a large flood storage area and a flagship programme of Natural Flood Management measures. The scheme will help stimulate economic growth and regeneration within the city as well as responding to help address the current Climate Emergency.;Amber;The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: This is the first annual return for LFAS2 . The project is rated as amber on the basis the project is progressing well - tasks outlined last quarter such as finalising a land purchase and the submission of Step 2 planning documents have both been achieved. Design and construction works are approximately 30% of the way through the programme and stakeholders continue to be engaged via dedicated recourses in the project team. Therefore over the course of the year risks on the project have decreased and the project end date remains unchanged.;2016-09-01;2024-10-18;The project end-date is 18 October 2024. This is primarily due to the following factors: The project is progressing well with 30% of design and construction complete. The project end date remains unchanged;£24.83;£14.00;"The budget variance exceeds 5%. The cashflow shows expenditure slipping into future years, albeit that the forecast outturn position for the project remains unchanged. 
The reasons for cost slippage is the focus on up-front design activities and discharging planning conditions. In addition, the effects of the coronavirus pandemic have also contributed to the expenditure slippage.  
It should be noted that the overall programme remains unchanged as we have used float and time risk allowances on these activities.";£146.37;The projects Baseline Whole Life Cost is £146.37m. This is primarily due to the following factors: There is no change to the baseline WLC. Delivery costs are based on well-established spend to dare and tendered costs. Future operation and maintenance costs are based upon standard estimates of assets being constructed and flood risk.
2021;DEFRA_0011_2021-Q3;Oxford Flood Alleviation Scheme;DEFRA;Infrastructure and Construction;"We are working with 9 partners on a major new flood scheme for Oxford, which will reduce flood risk to homes, businesses, and major transport routes into the city. Our scheme will provide a long term solution to flooding in Oxford, helping protect the city as flood risk increases with climate change.

The scheme will run through the existing floodplain west of Oxford. It will be formed of a new stream surrounded by a gently sloping floodplain of new wetland habitat and grazing meadow to create more space for water away from built-up areas.";Amber;The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: We have confidence in the delivery of Oxford Flood Alleviation Scheme with respect to the design, quality and ability to meet our current programme. The scheme is fully funded and we have confidence that this will remain to be the case for our Full Business Case. We are carefully managing and monitoring the risk that our programme could move due to external factors.  We are working closely with Oxfordshire County Council to mitigate this risk.;2014-04-02;2030-01-09;The project end-date is 09 January 2030. This is primarily due to the following factors: Project delivery is within cost and programme forecasts.;£2.94;£2.24;The budget variance exceeds 5%. In the last financial year the scheme has undergone significant change brought about by external challenges that have led to re-design of certain elements of the scheme and withdrawal of our Compulsory Purchase Order and planning application. This has resulted in a longer programme, pushing out planning approval and construction completion. This has changed our expenditure needs, reducing contractor costs significantly, as well as consultants and our internal staff.;£204.83;"The projects Baseline Whole Life Cost is £204.83m. This is primarily due to the following factors: The whole life cost for the Oxford Flood Alleviation Scheme, considers all the work needed before, during and after scheme construction. This includes the cost of the work needed to design the scheme; gain the necessary planning approvals; purchase the required land and obtain business case approvals. It also considers the cost of materials and labour to construct the scheme, allowing for inflation and contingency for any risks which could occur and impact the delivery programme or cost. It also further includes the estimated cost of works needed to maintain the scheme over a 100 year period to ensure that it can operate at full capacity as a flood alleviation scheme and ensure benefit delivery."
2021;DEFRA_0012_2021-Q3;River Thames Scheme;DEFRA;Infrastructure and Construction;"The River Thames Scheme has 5 main objectives.  In preparation for the next phase of work we will be refining these objectives with our main partner to make them more specific. The scheme will reduce flood risk to people and property as much as can be economically justified within the constraints of affordability; Increase flood resilience and conditions that stimulate economic growth; Protect and enhance the natural environment and landscape: Enhance recreational opportunities, and; Maximise partnership funding contributions and demonstrate value for money";Amber/Green;The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/Green.This is primarily due to the following factors: The scheme is fully funded and the Environment Agency will be delivering the project in partnership with Surrey County Council. A very thorough understanding of project risk is being actively managed.;2017-04-12;2029-04-12;The project end-date is 12 April 2029. This is primarily due to the following factors: The project is within delivery timescales and objectives forecast.;£4.51;£4.55;The budget variance is less than or equal to 5%. ;£308.48;The projects Baseline Whole Life Cost is £308.48m. This is primarily due to the following factors: The whole life cost provides for the cost to design, build and maintain the scheme (including estimates for inflation, risk and optimism bias) to ensure the calculated benefits are delivered.
2021;DEFRA_0013_2021-Q4;Nature for Climate Fund;DEFRA;Infrastructure and Construction;The Nature for Climate Fund Programme has been established to significantly increase tree planting, woodland creation and management, and peatland restoration, in England to support the delivery of Net Zero and 25-Year Environment Plan commitments. The programme is also designed to deliver wider social, economic and environmental benefits.;Amber/red;The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/red.This is primarily due to the following factors: The Nature for Climate Fund was established in 2020/21. Significant progress has been made to establish the programme in 2020/21 and to start delivery against the programme's ambitious objectives. The programme has accepted all recommendations that were made by the IPA following reviews in the second half of 2020 and made significant progress in addressing these recommendations. This has included ensuring that the programme has the correct resources, capabilities and governance in place to support effective delivery.;2020-04-01;2025-03-31;The project end-date is 31 March 2025. This is primarily due to the following factors: The schedule of the programme positions the Nature for Climate Fund programme well for delivery against its ambitious targets. Delivery has already successfully begun in 2020/21 (year 1 of the programme) and 2020/21 has also seen significant work to establish programme structures that will support successful delivery in years 2-5, with significant ramping up of delivery from year 2 onwards.;£52.72;£52.72;The budget variance is less than or equal to 5%. ;£756.36;The projects Baseline Whole Life Cost is £756.36m. This is primarily due to the following factors: £640M of expected capital funding for the Nature for Climate Fund was announced as part of the Budget in March 2020. Only the 2021-22 financial year was scored at the 2020 Spending Review meaning future years funding is subject to approval through subsequent Spending Reviews.
2021;DEFRA_0014_2021-Q4;NO2 Reduction;DEFRA & DFT;Infrastructure and Construction;"The NO2 reduction programme is a joint programme with Department for Transport to deliver Nitrogen Dioxide (NO2) levels within legal limits in the shortest time possible. 
The NO2 reduction programme aims to deliver the 2017 UK plan for tackling roadside nitrogen dioxide concentrations and contributes to the Government ambition for a better environment and cleaner air.";Legal sensitivity around this programme along with the impacts of COVID-19 re-prioritisation prevented the IPA from providing a complete and independent assessment.;Legal sensitivity around this programme along with the impacts of COVID-19 re-prioritisation prevented the IPA from providing a complete and independent assessment.;2016-01-01;2027-12-31;The project end-date is 31 December 2027. This is primarily due to the following factors: The development of NO2 reduction plans in 2020 was impacted by COVID-19 and a number of local authorities have revised their schedules as a result. The first Clean Air Zone in Bath launched on 15 March 2021. The NO2 programme is legally mandated to deliver compliance with NO2 legal limits in the shortest time possible. The programme team works very closely with local authorities who have exceedances across England to develop and implement NO2 reduction plans.;£289.00;£151.50;The budget variance exceeds 5%. The NO2 programme is supporting Local Authorities to develop and implement measures to address NO2 roadside exceedances. Funding has been provided to Local Authorities to deliver the necessary reductions to tackle NO2 over the lifetime of the project. Due to COVID-19 there have been delays to local authority spending, resulting in an underspend.;£880.00;The projects Baseline Whole Life Cost is £880.00m. This is primarily due to the following factors: Programme costs relate to the development of NO2 reduction plans by local authorities who have exceedances, implementation of NO2 reduction plans, project costs for the central Clean Air Zone service, and modelling, monitoring and evaluation.
2021;CO_0014_1516-Q2;Government Hubs Programme;CO;Government Transformation and Service Delivery;The Government Hubs Programme will consolidate and modernise the government's office estate, creating an office network that supports smarter working and great places to work, in line with post-Covid ways of working and relocating civil service posts to the regions by 2030 as part of the Place for Growth agenda;Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: Delivery confidence rating for the Government Hubs Programme is now assessed as AMBER following a recent IPA Review and approval of the Programme Business Case by GPA's Investment Committee on 18 Dec 20 with SR20 funding having been secured from HMT on 25 Nov 20. These two approvals have increased internal delivery confidence. Birmingham 2, Peterborough and Croydon are progressing well despite ongoing COVID challenges. London,3-8WHP/55WHl; Newcastle 2; Birmingham 3; Bristol 2 and London, 36WH all have approved Outline Business Cases. London, OAB has reentered service with DIT and GAC in occupation.";2015-05-01;2026-03-31;Compared to financial year 19/20-Q2, the project's end-date decreased from 31 March 2036  to 31 March 2026 . This is primarily due to the following factors: Compared to 2020-Q2, the project's end-date decreased from 31 Mar 2036  to 31 Mar 2026 . This was amended in line with the updated 2020 Programme Business Case;£38.23;£38.20;The budget variance is less than or equal to 5%. ;£1,058.83;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £564.10m to £1058.83m. This is primarily due to the following factors: Compared to 2020-Q2, the projects Baseline Whole Life Cost increased from 564.10 (£m) to 1058.83 (£m). This is primarily due to the updated 2020 Programme Business Case
2021;CO_0015_1516-Q2;GOV UK Verify;CO;ICT;GOV.UK Verify is a core element of the Government's digital identity programme. It aims to ensure that users can create, use and reuse digital identities across public and private sector services.;Amber/Green;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Red to Amber/Green. This is primarily due to the following factors: Verify is operating reliably for its 20 connected services; a reduction from 22, with DfE opting to move its claim payments for teachers service in-house and MoD's Defence Cyber Protection Partnership advising they're not going to continue using Verify. Over 8 million people have now used Verify, with 2 million added in the last year as citizens accessed critical online services during the pandemic. We have sustained the improvements in robustness that were implemented in 2020 in response to the COVID-driven increase in demand and, despite the wider staffing and recruitment pressures as work on the future system ramps up, the Verify team remains sufficiently resourced.";2012-04-01;2020-03-31;Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 March  2020  . This is primarily due to the following factors: Mobilisation of the new single sign-on programme accelerated in quarter 4, with agreement of a high-level product roadmap, additional recruitment, and establishment of its formal governance arrangements. The IPA's Gate 0 review is being undertaken in April 21/22. We have agreed with the IPA that the new single sign-on programme will be added to the GMPP in the first quarter of 2021/22, and that Verify will be removed upon completion of a Gate 5 review in due course. As a result, we are now able to separate formal reporting on Verify from the future solution, although this Board will remain interested in retirement planning and the migration of services and users.;£2.26;£16.66;The budget variance exceeds 5%. The Verify programme did not have baseline funding for 20/21 whilst HMT only agreed to fund direct COVID-19 related activity - this did not cover the full programme costs.;£222.86;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £206.10m to £222.86m. This is primarily due to the following factors: The Programme has continued to operate with average staffing numbers of 56 FTE. Increases in the unit cost of IDP payments that came into effect in March 2020 have added to costs in FY 20/21.
2021;CO_0018_1617-Q3;Common Technology Services;CO;Government Transformation and Service Delivery;The programme is nearing completion, is coming off the GMPP and transferring its delivery into an operational model. During 2020/21 there has been considerable progress towards a final deliverable, to mature, scale and improve resilience of the GovWifi service, move it to a Live status and transfer its service ownership to the Government Property Agency (GPA). Covid-19 caused some challenges in prioritising this work, especially since wifi inside government buildings was lower priority during lockdown than improving remote-working technology. However considerable progress was made and the team only narrowly failed a live assessment in March 2020. The GPA and the programme leadership remain committed to the remaining work to ensure GovWifi reaches full live status in the next six months. Aside from GovWifi, work on other aims of the CTS programme is now the responsibility of the the One-IT interoperability programme in the new government Chief Digital and Data Office.;Amber/Green;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber/Green. This is primarily due to the following factors: We are six months from finally completing the programme and live service assessment being finally achieved for GovWifi. Deviation from the original target date of March 2020 caused by prioritisation of Covid-19 objectives in 2020/21;2016-04-01;2020-03-31;Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 March  2020  . This is primarily due to the following factors: We are six months from finally completing the programme and live service assessment being finally achieved for GovWifi and the programme end date.  Deviation from the original target date of March 2020 caused by prioritisation of Covid-19 objectives in 2020/21. However IPA have agreed to remove the programme from the GMPP.;£0.82;£0.61;The budget variance exceeds 5%. Costs were lower due to inability to recruit people quickly enough as people were diverted to Covid-19 work during 2020/21;£45.01;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £44.19m to £45.01m. This is primarily due to the following factors: Increased estimates of the work required to make GovWifi a live service.
2021;CO_0019_1617-Q4;Government as a Platform;CO;ICT;Deliver cross-government technology platforms to cut costs and improve productivity by providing common components and accelerate business transformation in government.;Amber/Green;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber/Green. This is primarily due to the following factors: The project will achieve or surpass the predicted volumes and benefits against the current Business Case forecasts. GOV.UK Notify, GOV.UK PaaS and GOV.UK Pay have all achieved a Live state (i.e. successfully passed a Live Service Standard assessment). Due to Covid-19 response related departmental prioritisation of recruitment and roles, GOV.UK Design System did not achieve Live Status due to lack of a key role. Continued GDS/Cabinet Office investment into GaaP is expected in 21/22 and beyond;2015-12-31;2020-03-31;Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 March  2020  . This is primarily due to the following factors: The project has achieved all but one (see above) of its current Business Case objectives. Project work and benefits will continue after 31/03/21.  IPA has agreed with the SRO that this will be the last reporting cycle for GaaP after which the project will come off GMPP;£13.94;£31.65;The budget variance exceeds 5%. Notify volumes increased significantly due to NHS Covid related activity, although this is matched by a corresponding increase in income.;£103.94;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £90.00m to £103.94m. This is primarily due to the following factors: Notify volumes increased significantly due to NHS Covid related activity, although this is matched by a corresponding increase in income.
2021;CO_0020_1718-Q4;Commercial Capability Expansion Programme;CO;Government Transformation and Service Delivery;The original Commercial Capability Programme successfully established the Government Commercial Organisation (GCO) - a single central employer of several hundred Commercial Specialists (Grade 6 and above) for central government departments. The Civil Service Board has endorsed proposals that commercial capability building interventions should be extended to Wider Government Bodies (WGBs), Grade 7 commercial professionals within central government and training and accreditation developed and delivered to the Civil Service contract management community. The Commercial Capability Expansion Programme has been established to impact these new target populations deeper within the Civil Service and more broadly across the Public Sector.;Amber;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Red to Amber. This is primarily due to the following factors: Following the IPA Assurance Review in March 2020, our programme Delivery Confidence Assessment (DCA) improved to Amber/Green. The Review Team found the programme has had significant success to date. Impacted by Covid-19, particularly having to virtualise all training and accreditation services, we downgraded to Amber in August 2020. Given the pause to services, in November 2020 we received Civil Service Board's full endorsement for a 12-month programme extension.;2017-04-01;2023-03-31;"Compared to financial year 19/20-Q2, the project's end-date increased from 31 March 2020  to 31 March 2023 . This is primarily due to the following factors: The primary external factor impacting our programme has been Covid-19, due to: having to stand down face-to-face training and accreditation and develop new, virtual offers; redeploying programme resources to Covid-19 response work in Q1-Q2; and factoring competing priorities faced by departments and WGBs into our planning. Given the pause to services we received Civil Service Board's full endorsement for a 12-month programme extension to 2023. This allows more time to reengage with target populations and stand up virtual commercial and contract management assessments. As our focus remains on effective demand planning and virtualising services to meet the targets for the remaining projects, our confidence in the achievability of these targets has increased.";£6.05;£5.15;"The budget variance exceeds 5%. The budget variance was caused by:
a) The Covid-19 pandemic which affected the delivery of business as usual activities (e.g., the pausing of all our face-to-face services and operating at a significantly reduced level for the first half of the 2020/21 financial year. This led to lower cost than expected being spent as several teams virtualised their services during this period and,
b) Efficiencies gained via less spending on operational activities.";£18.58;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £11.70m to £18.58m. This is primarily due to the following factors: Compared to Q2 2019/20 the programme's Baseline Whole Life Cost increased from £11.70m to £18.58m. This is primarily due to additional funding received in the 2020/2021 financial year from the Cabinet Office's Accelerator Fund and a one-year, one-off £3m central funding from CO/HMT to improve the capability of contract management across government. This fund was used to cover the costs of delivering contract management courses including funding for attendees from government departments to attend the Practitioner and Expert level courses.
2021;CO_0022_1819-Q4;Transforming Government Security;CO;Government Transformation and Service Delivery;"Following a review of government security in 2016, the Transforming Government Security (TGS) Programme was established to raise the standard of security services in government. The review found chronic systemic failings in the way security was delivered. There was duplication of effort across departments, widely varying capability and inconsistent user experience. TGS has already delivered significant change with GSG leading this cross-government transformation effort from a small programme team located across the UK. It has accelerated the establishment of the Security Function. Security leadership has been enhanced through the creation of the roles of the Government Chief Security Officer and Chief Security Officers in lead departments; departmental security posture has been strengthened by the recruitment of expert security advisers; the GSG professions team and a range of assurance activities have been established in GSG; and shared security services have been embedded by the lead departments.";Green;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Green to Green. This is primarily due to the following factors: TGS set out to rationalise government security, improve professionalism and make security a Function of government addressing varying standards of security. Key achievements - now supported by a transformation portfolio - are:
- Security leadership has been enhanced through the creation of the roles of the Government Chief Security Officer and Chief Security Officers in lead departments;
- Departmental security capability has been strengthened by the recruitment of Security Advisers and a cadre of SCS Security Advisers (10 of whom are women making up over 50% of Senior Security Advisers);
- A strong professions agenda has been established, providing a clear career framework for our people and enabling us to drive up capability in key areas;
- A more concerted and consistent assurance regime (based on new security standards) has been developed, giving us a much better understanding of capability gaps;
- Services have been made available through Government Security Centres, solving common problems for all departments.";2016-10-01;2020-05-31;Compared to financial year 19/20-Q2, the project's end-date increased from 01 April 2020  to 31 May 2020 . This is primarily due to the following factors: The Programme has now closed, and was delivered on time;£10.00;£9.82;The budget variance is less than or equal to 5%. ;£41.04;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £31.04m to £41.04m. This is primarily due to the following factors: The Programme has come in with a 2% underspend. The main reason for the Programme reporting an underspend was due to CO controls limiting the onboarding of contractor resources and also the impact of redirecting resources in response to the Covid effort. A note would be sent to NCSP advising them of the underspend.
2021;CO_0023_1920-Q1;Transforming CCS;CO;Government Transformation and Service Delivery;The Transforming CCS Programme builds upon activity previously undertaken by the Crown Commercial Service (CCS) Crown Marketplace Programme (CMp). The programme will encompass both digital delivery and organisational transformation to deliver the two year vision that will transition CCS into a digitally enabled organisation that puts the customer at the heart of everything it does. In addition the programme will look to the future and develop a five year vision and delivery plan for CCS, in doing so it will consider critical strategic challenges and questions that the business faces. Transformation in CCS is wide ranging and will be delivered through a broader portfolio of change.  The Transforming CCS Programme will play an important part in the portfolio with a defined scope as outlined the approved business case.;Amber;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: The status reflects the impact of a recent review period that has occurred throughout Q4, and the refocus of the programme that is now required to ensure delivery of the required business case outcomes. A new CCS Directorate and Leadership for the Programme has come into effect, with the creation of the CCS Digital & Data Directorate, and a new SRO.  There has been significant progress made to embed an updated governance structure for the programme and validate the scope of the remaining projects. The Programme has been re-focused internally as a CCS Change Programme with equal emphasis placed on the implementation of specific digital change and CCS organisational changes required to enable and support our enhanced digital, customer first approach. An updated business case is expected in Q1 21/22 to detail the final phase of delivery, reflecting this focused delivery approach and any subsequent impact on the benefit profile;2019-04-01;2022-03-31;Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 March  2022  . This is primarily due to the following factors: The Programme has been re-focused internally as a CCS Change Programme with equal emphasis placed on the implementation of specific digital change and CCS organisational changes required to enable and support our enhanced digital, customer first approach. An updated business case is expected in Q1 21/22 to detail the final phase of delivery in line with the current  Programme end date, reflecting this focused delivery approach and any subsequent impact on the benefit profile;£10.28;£10.21;The budget variance is less than or equal to 5%. ;£28.34;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost remained at £28.34m. This is primarily due to the following factors: Whole life costs show 3 year programe costs from FY19/20 to FY21/22. The costs for the final two years of the Programme have been included within the CCS Business Plan and Budget 2020/21 to 2021/22. The costs incurred in 19/20 where lower than budgeted and the refined delivery timescales has been provided for in CCS's 20/21 and 21/22 budget.
2021;CO_0024_2021-Q2;Civil Service Pensions 2015 Remedy;CO;Government Transformation and Service Delivery;The 2015 Pensions Remedy Programme was created to end age discrimination within the Civil Service Pension Schemes and is also creating solutions to remediate any affected historic members.;Amber;The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: The delivery plan is being attained with all milestones being met within tolerance. Future milestones are currently in-scope to be met however this is dependant on legislation and taxation decisions which are still to be made by HMT and HMRC respectively.;2020-05-20;2024-09-30;The project end-date is 30 September 2024. This is primarily due to the following factors: The Programme will close the legacy pension schemes and move to a new single scheme from April 2022 thus ending the discrimination.  This will be complimented with work to historically rectify any members who may have been subject to discrimination and our planning forecasts that the vast majority of this work will be completed by late 2023.;£5.20;£1.50;The budget variance exceeds 5%. When the budget was set it was assumed that concept and early design work would be further advanced.  Largely due to legislative dependencies and the post public consultation timetable, a degree of the scoping and design work has occurred later than originally forecast, hence the underspend.;£40.86;The projects Baseline Whole Life Cost is £40.86m. This is primarily due to the following factors: The budget is likely to be further refined as the detailed scope becomes clearer.
