,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year,report_category,project_number,TOTAL Baseline Benefits (Łm),benefits_comment
629,Transforming CCS,CO,Amber,"The Transforming CCS Programme builds upon activity previously undertaken by the Crown Commercial Service (CCS) Crown Marketplace Programme (CMp). The programme will encompass both digital delivery and organisational transformation to deliver the two year vision that will transition CCS into a digitally enabled organisation that puts the customer at the heart of everything it does. In addition the programme will look to the future and develop a five year vision and delivery plan for CCS, in doing so it will consider critical strategic challenges and questions that the business faces. Transformation in CCS is wide ranging and will be delivered through a broader portfolio of change.  The Transforming CCS Programme will play an important part in the portfolio with a defined scope as outlined the approved business case.","Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: The status reflects the impact of a recent review period that has occurred throughout Q4, and the refocus of the programme that is now required to ensure delivery of the required business case outcomes. A new CCS Directorate and Leadership for the Programme has come into effect, with the creation of the CCS Digital & Data Directorate, and a new SRO.  There has been significant progress made to embed an updated governance structure for the programme and validate the scope of the remaining projects. The Programme has been re-focused internally as a CCS Change Programme with equal emphasis placed on the implementation of specific digital change and CCS organisational changes required to enable and support our enhanced digital, customer first approach. An updated business case is expected in Q1 21/22 to detail the final phase of delivery, reflecting this focused delivery approach and any subsequent impact on the benefit profile",,,"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 March  2022  . This is primarily due to the following factors: The Programme has been re-focused internally as a CCS Change Programme with equal emphasis placed on the implementation of specific digital change and CCS organisational changes required to enable and support our enhanced digital, customer first approach. An updated business case is expected in Q1 21/22 to detail the final phase of delivery in line with the current  Programme end date, reflecting this focused delivery approach and any subsequent impact on the benefit profile",10.28,10.21,28.34,The budget variance is less than or equal to 5%. ,"Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost remained at Ł28.34m. This is primarily due to the following factors: Whole life costs show 3 year programe costs from FY19/20 to FY21/22. The costs for the final two years of the Programme have been included within the CCS Business Plan and Budget 2020/21 to 2021/22. The costs incurred in 19/20 where lower than budgeted and the refined delivery timescales has been provided for in CCS's 20/21 and 21/22 budget.",2021,Government Transformation and Service Delivery,CO_0023_1920-Q1,,
630,Civil Service Pensions 2015 Remedy,CO,Amber,The 2015 Pensions Remedy Programme was created to end age discrimination within the Civil Service Pension Schemes and is also creating solutions to remediate any affected historic members.,The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: The delivery plan is being attained with all milestones being met within tolerance. Future milestones are currently in-scope to be met however this is dependant on legislation and taxation decisions which are still to be made by HMT and HMRC respectively.,,,The project end-date is 30 September 2024. This is primarily due to the following factors: The Programme will close the legacy pension schemes and move to a new single scheme from April 2022 thus ending the discrimination.  This will be complimented with work to historically rectify any members who may have been subject to discrimination and our planning forecasts that the vast majority of this work will be completed by late 2023.,5.2,1.5,40.86,"The budget variance exceeds 5%. When the budget was set it was assumed that concept and early design work would be further advanced.  Largely due to legislative dependencies and the post public consultation timetable, a degree of the scoping and design work has occurred later than originally forecast, hence the underspend.",The projects Baseline Whole Life Cost is Ł40.86m. This is primarily due to the following factors: The budget is likely to be further refined as the detailed scope becomes clearer.,2021,Government Transformation and Service Delivery,CO_0024_2021-Q2,,
631,Electoral Integrity,CO,Amber/red,"To deliver the Government Manifesto commitments (General Election 2019) around the integrity of the UK electoral system. The programme will deliver policy outcomes in three core areas: 1) Voter ID, 2) Overseas Electors, and 3) Campaigning Measures. The collective outcome of these policy measures will be increased public confidence in the security and integrity of the UK's elections, and enfranchisement of all eligible electors living overseas.","The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/red.This is primarily due to the following factors: The programme is currently delivering in line with agreed timelines and milestones, but is carrying significant risk to delivery. Scope creep impacts upon finite resource places the quality of the Elections Bill at risk. The provisional settlement under the current one-year Spending Review has seen the programme secure the required non-pay funding for 2021/22, and 45 of the 48 requested posts have been funded. However, it will take the programme time to get approval for and recruit resource permitted by the funded template and sufficient to plan and manage business-change effectively. Furthermore, the uncertainty over funding for subsequent years adds uncertainty over the life of the programme (2024) which will need to be managed as best possible in the very short term. If we do not secure funding we will need to look again at the scope of the programme. Should the Fixed-Term Parliaments Act 2011 be repealed and an early General Election be called, the success of the implementation of the business changes arising from the Bill measures would be put at risk.",,,"The project end-date is 31 December 2024. This is primarily due to the following factors: The programme needs to deliver all of the changes into the electoral sector to realise its intended outcomes and associated benefits before the next General Election. The programme has assumed that this will be May 2024.
The programme will incrementally implement the business changes arising from the new legislation for use in elections held in May 2023 and May 2024.",2.43,2.43,119.78,The budget variance is less than or equal to 5%. ,"The projects Baseline Whole Life Cost is Ł119.78m. This is primarily due to the following factors: The current Forecast Whole Life cost is based on the combined costs from the approved Full Business Case for the Voter ID Project, and the Overseas Electors Project's Strategic Outline Case. This will be updated as subsequent business cases for other projects within the programme are finalised.",2021,Government Transformation and Service Delivery,CO_0025_2021-Q3,,
632,One Public Estate,CO,Amber/Green,"One Public Estate is an initiative delivered in partnership by the Cabinet Office (Office of Government Property), the Local Government Association and the Ministry for Housing, Communities and Local Government. It provides practical and technical support and funding to councils, central government and other public sector partners working together to deliver ambitious property-focused programmes.","The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/Green.This is primarily due to the following factors: OPE continues to deliver strong outputs as the programme reaches maturity, recently completing the funding process for an additional Ł10m for Phase 8 and the FBC being approved by HMT for Phase 9. Delivery is at a slower pace than forecast in the phase 1-7 business cases for a variety of reasons, predominantly overly optimistic early forecasts of benefits, the complexity of delivering multi partner projects across the public sector, and an inherent risk in large capital schemes. The programme has been adversely impacted by COVID, and there is a risk that some of the early forecast outputs will either not be delivered or will fall outside of the current programme timescales. However the programme team has a mature risk management processes and governance that provides confidence this is being managed. Ambitions have been realigned to match these new forecasts.",,,"The project end-date is 31 March 2023. This is primarily due to the following factors: The OPE programme provides funding for early stage project works and, as such, project timeframes can range significantly. Project benefits are currently captured within a 10 year timeframe, with the most recent projects having been funded in 2021.",10.0,10.0,93.0,The budget variance is less than or equal to 5%. ,The projects Baseline Whole Life Cost is Ł93.00m. This is primarily due to the following factors: OPE whole life costs are included to 20/21. This does not include projected staffing costs beyond 20/21 as these are subject to approval.,2021,Government Transformation and Service Delivery,CO_0026_2021-Q3,,
633,Vetting Transformation Programme,CO,Amber,"The Vetting Transformation Programme is building a workforce with the right set of skills, fully exploiting technology opportunities and implementing a new vetting standard, the programme has the following aims;Faster clearances, processing times will be reduced by implementing a single joined up end to end process that eliminates duplication; enabling individuals to be recruited into vetting roles quicker.Provide a far better user experience, facilitated by frictionless HR and Security data sharing and record management. Clearances will be portable, individuals will be able to move seamlessly between departments.On-going assurance of our people through a cross-functional approach to managing employee risk throughout the employee lifecycle, to better assure the integrity of individuals with privileged access.Aligning to these outcomes will provide government departments with a trusted vetting service that adheres to its customer's needs and will strengthen our international reputation.The wider aspiration is to create a trusted capability that positions itself as the provider of choice for vetting services that enables expansion of its customer base beyond its current consumers.","The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: Early last year it was agreed across departments that the first year costs for Vetting Transformation should be met via burden share. This amount was calculated and agreed at Ł3m, having been reduced due to a delayed start from Ł4m. The programme has optimised and spent the Ł3m investment this year appropriately and effectively, mobilising in October 20 and so far delivering to plan. The programme has secured a further Ł5.1m of partner funding for 2021/22. As of April 21 the programme will move from DPC to UKSV and the SRO will change. The new SRO will review priorities and an OBC will be submitted to HMT early in the new FY.",,,The project end-date is 31 March 2023. This is primarily due to the following factors: The Vetting Transformation Programme forecast end-date is 31 March 2023.  This has not been rebaselined since it was established in the Programme's approved SOC.,3.0,3.01,8.1,The budget variance is less than or equal to 5%. ,The projects Baseline Whole Life Cost is Ł 8.10m. This is primarily due to the following factors: The Whole Life Cost of the Vetting Transformation Programme has not been rebaselined since it was established in the programme's approved SOC. The programme has spent to forecast in FY20/21.,2021,Government Transformation and Service Delivery,CO_0028_2021-Q4,,
634,Workplace Services Transformation Programme,CO,Amber/red,The Workplace Services Transformation Programme (WSTP) has been established to realise the ambition of a transformed workplace experience for all GPA customers (end users) and to ensure better value for our clients (Departments).,"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/red.This is primarily due to the following factors: The WST Programme funding has been secured through the SR20 bid 21/22 (and will be subject to a SR21 bid for ongoing funding). The WSTP Supply Chain Project (SCP), Outline Business Case (OBC) seeking authority to go to market for new FM Contracts was endorsed by the GPA Investment Committee and approval has been requested from the GPA Board on 8th April 2021.",,,The project end-date is 01 September 2023. This is primarily due to the following factors: Project has not yet been baselined. Outline Business Case (OBC) seeking authority to go to market for new FM Contracts was endorsed by the GPA Investment Committee and approval has been requested from the GPA Board.,0.0,187.63,0.0,"Project has not yet been baselined. One off spend incurred was for development of OBC, recurring old costs are Facilities Management costs in line with current contract spend","Project has not yet been baselined. One off spend incurred was for development of OBC, recurring old costs are Facilities Management costs in line with current contract spend",2021,Government Transformation and Service Delivery,CO_0029_2021-Q4,,
635,700 MHz Clearance Programme,DCMS,Green,"The objective of the programme is to clear the 700 MHz radio spectrum so that it can be used for new, more advanced mobile broadband services. The programme consists of the following projects: 1) Infrastructure programme to clear the spectrum - comprising implementing a new transmission frequency plan for Digital Terrestrial Television (DTT) broadcasting, building or modifying broadcast masts and antennas, including over 80 main transmitters, and administering the payment of grants to deliver this infrastructure work. 2) Programme Making Special Events (PMSE) -  putting in place alternative spectrum for the PMSE community and delivering a Help Scheme for current PMSE users impacted by the Programme. 3) Viewer Support - communicating to DTT viewers if they need to retune their TV equipment, and providing support to affected viewers that may need to repoint or replace their aerials.","Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Green to Green. This is primarily due to the following factors: The 700 MHz Spectrum is cleared and viewer support has finished.",,,"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 01 January  2022  . This is primarily due to the following factors: No deviation - the 700 MHz Spectrum is cleared and viewer support has finished.",69.9,32.2,595.0,The budget variance exceeds 5%. There have been savings across all of the main delivery areas of the project (Infrastructure; Performance Equipment; and Viewer Support). Further savings have been realised from costs budgeted for co-existence which are now planned to be included in the terms of the spectrum sale. Additional costs forecast to cover for potential delays caused by the impact of COVID have now been stripped out.,"Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost remained at Ł595.00m. This is primarily due to the following factors: No change in whole life costs, the 700 MHz Spectrum is cleared, viewer support has finished.",2021,Infrastructure and Construction,DCMS_0009_1516-Q4,,
636,Blythe House Programme,DCMS,Amber,The objectives of the Blythe House Programme are to ensure that: 1) Blythe House is put to its most efficient and effective use in order to deliver maximum value for money  2) The Blythe House museums are able to care for their collections in the most efficient and effective way,"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating increased from Amber/Green to Amber. This is primarily due to the following factors: The DCA has increased from Amber/Green to Amber since the last ARMP as a direct result of the  COVID-19 pandemic, which has impacted on both the delivery schedule and programme cost. Schedules were affected by site closures, and on re-opening, the need to operate in a COVID-secure manner, which reduced productivity in terms of construction and in preparing the national museum collections for their move from Blythe House. Additional costs were also incurred as a result of the pandemic. DCMS is working with the museums to assess the impact on schedule but remains confident that the programme aims of protecting the museum collections and maximising the sale of Blythe House can be met.",,,"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 March  2023  . This is primarily due to the following factors: The three museum construction projects and the decant from Blythe House were affected by limited site closures and reduced productivity because of the need to operate in a COVID-secure manner, however, work continued on all sites throughout the second lockdown period. The Science Museum Group's Building ONE is now nearing completion and will start to receive objects being moved from Blythe House from June 2021. Each project has undertaken re-programming of activities, and DCMS is working with the museums to assess the eventual impact of the pandemic on baselined milestones towards the disposal of Blythe House.",50.06,58.9,215.19,"The budget variance exceeds 5%. The variance does not represent a change in overall programme spend, but reflects the management of grant in aid drawdown from year to year. The in-year forecast spend represents anticipated expenditure on the Blythe House project, while the baseline represents what is being drawn down in grant in aid funding. There is an arrangement whereby the museums can draw down the grant in aid funding for non-Blythe House project expenditure, and 'repay' it to the project in future years.","Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from Ł210.24m to Ł215.19m. This is primarily due to the following factors: The increase in the programme's Whole Life Cost derives from an approved  increase in the Victoria & Albert Museum's project cost, which will be funded by Non-Government sources.",2021,Infrastructure and Construction,DCMS_0008_1516-Q4,,
637,5G Testbeds & Trials,DCMS,Amber/Green,"The 5G Testbeds and Trials Programme is the Government's nationally coordinated programme of investment in 5G. The Programme looks to harness areas where the UK has a competitive advantage - such as in scientific research, engineering talent and our rich variety of technology businesses. The Programme is exploring the benefits and challenges of deploying 5G technologies.","Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber to Amber/Green. This is primarily due to the following factors: All 5GTT projects are now up and running, with all competitions concluded; currently 18 of the live projects reporting an A/G RAG status.- The Programme remains on track to deliver by March 2022, although risks around key roles/activities required to close the Programme in a control manner have been outlined and mitigations are being pursued, as identified in the latest IPA Gateway 0 Review. 
The IPA Gateway 0(B) Review of February 2021 awarded a DCA rating of Amber, giving positive feedback on progress to date and recommendations for continuing positive progress made within DCMS/across government. The Programme has completed recommendations made in the July 2019 report. Recommendations from the February 2021 report have been gathered and assigned action owners, with positive progress being made to address. ",,,"Compared to financial year 19/20-Q2, the project's end-date increased from 31 March 2021  to 31 March 2022 . This is primarily due to the following factors: The Programme was granted an extension, and is scheduled to close 31 March 2022. The Programme currently remains on track to deliver and complete all projects by this date. However, it has been identified that the Programme would benefit from an extension of a further year to allow for a longer window for benefits to be realised. The team has also outlined key roles required to carry out post-project closure activities to ensure the Programme closes in a successful, controlled manner in the six month period following Programme closure if an extension were not permitted.",44.4,40.3,232.75,"The budget variance exceeds 5%. Resource expenditure for 2020/21 was Ł5.8m against Ł5.9m budget (99% utilisation). 
Capital Expenditure on 5G was  Ł33.9m against Ł38.5m budget. HMT requested 5G budget should also cover expenditure on Cell Broadcasting, which was Ł11.9 for 20/21. Cell Broadcasting expenditure was covered by a mix of 5G underspend and underspend secured elsewhere within DCMS.","Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost remained at Ł232.75m. This is primarily due to the following factors: To date, the programme has spent combined RES-del and CAP-del Ł107m.",2021,Infrastructure and Construction,DCMS_0011_1718-Q3,,
638,Local Full Fibre Networks,DCMS,Amber,"The Local Full Fibre Networks Programme (LFFN) is a pilot to stimulate greater commercial investment to deliver faster and more reliable connectivity by providing fibre broadband to public sector buildings; finding new and innovative ways to re-purpose existing network infrastructure and offering an SME-focused grant through a supplier-led voucher. Greater availability of these networks will enable businesses and individuals to access the gigabit-capable connectivity that they need both now and for the future, as well as facilitating the deployment of 5G. Benefits include stimulation of the broadband market, and better infrastructure and improvements in the overall network.  There are also wider economic benefits including business productivity and growth in jobs.","Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Red to Amber. This is primarily due to the following factors: Since HMT approval was granted to extend beyond March 2021, LFFN has been rated 'Amber', from 'Red'. It continues to be 'Amber' because 10 out of 40 projects were delivered by the end of March 2021. 
. All Wave 1 projects have delivered the BDUK funded elements of their projects.
. 16 out of 17 Wave 2 projects have passed Checkpoint C. 
. 20 out of 20 Wave 3 projects have passed Checkpoint C.",,,"Compared to financial year 19/20-Q2, the project's end-date increased from 01 December 2021  to 31 December 2021 . This is primarily due to the following factors: HMT approval has been given to extend the programme to December 2021. All projects are planned to be completed within this schedule.",106.7,99.92,302.3,The budget variance exceeds 5%. The forecasts for 2020-21 and 2021-2 are based on the current delivery profile; likely to be affected by COVID-19. The slippage allowance  is 75% of Q4 claims that have been rated a high risk of not being claimed for slipping into 2021-22.,"Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost decreased from 321.10m to Ł302.30m. This is primarily due to the following factors: Since the last quarter the capital forecast has been reduced as a result of projects needing to descope sites.  The voucher forecast has been reduced as cancellations have increased.",2021,Infrastructure and Construction,DCMS_0010_1718-Q3,,
639,Birmingham 2022 Commonwealth Games,DCMS,Amber,"The 2022 Commonwealth Games will be held in Birmingham, from 28 July to 8 August. Birmingham 2022 will showcase Birmingham, the West Midlands and the entire country to the rest of the world as a destination for international trade, education, and world class sport and tourism. The Games will deliver a fully integrated and inclusive para-sport programme. The Government is providing a substantial part of the overall funding and will want to ensure successful delivery, on time and within budget. The Games will be delivered in 2022 amongst a year of notable major events for the UK - including the Queen's Platinum Jubilee.","Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Red to Amber. This is primarily due to the following factors: Delivery of the 2022 Commonwealth Games has continued on track, despite a significantly challenging programme and project delivery landscape - with considerable uncertainty and turbulence generated via the Covid--19 pandemic. An IPA Project Assessment Review conducted in Q4 2019-20 concluded positively that Games planning is 'on schedule' with programme finances in a 'strong position' and subsequently the Delivery Confidence Assessment for the programme increased from an Amber/Red to an Amber rating. Looking ahead into 2021-2022, the programme will continue to navigate notable challenges within the Covid-19 recovery landscape, adjusting planning and building in suitable flexibilities into operational planning as the recovery landscape develops and as further policy implications begin to manifest for delivery of major sports events and the return of physical spectator audiences ahead of Summer 2022. DCMS continues to look forward to delivering the event safely and successfully as a key part of a series of celebratory events in 2022, including the Queen's Platinum Jubilee.",,,"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 March  2023  . This is primarily due to the following factors: Delivery of the 2022 Commonwealth Games has continued on track, despite a significantly challenging landscape both domestically and internationally with the Covid-19 pandemic. Significant delivery milestones for the Commonwealth Games have been achieved throughout the last financial year, including the publication of a Commonwealth Games Legacy and Benefits plan, launch of the Games Mascot and Royal Assent was given for the Birmingham Commonwealth Games Act. Significant progress has also continued to be seen on the critical capital project and infrastructure sites for the Games, with the implementation of enhanced Covid-19 health and safety provisions on these sites to protect workers and to support delivery continuity throughout the pandemic. The Games are still on track to be delivered in the Summer of 2022, DCMS continues to look forward to delivering the event safely and successfully as a key part of a series of celebratory events in 2022, including the Queen's Platinum Jubilee.",111.81,87.16,886.9,"The budget variance exceeds 5%. The original baseline budget of Ł111.81m reduced in year to a revised budget of Ł84.7m due to changes to the expected profile of spend. In particular this related to the capital projects, which revised their milestone projects to deliver more in 2021/22 than originally envisaged, resulting in a budget reduction for 2020/21 to Ł84.7m.  The latest forecast of Ł81m (based on Feb 21 information) will result in a Ł3.7m underspend which equates to a 4.4% underspend against the revised budget, which is below the 5% variance required. Please note the Ł87.16m forecast above excludes income.","Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from Ł886.89m to Ł886.90m. This is primarily due to the following factors: Spend across the programme remains on track, within budget and forecasts.",2021,Infrastructure and Construction,DCMS_0012_1819-Q2,,
640,4th National Lottery Licence Competition,DCMS,Amber,The 4th National Lottery Licence Competition Programme is responsible for ensuring the continuation of the National Lottery on the expiry of the current 3rd Licence in July 2023.  This involves designing a new licence fit for the future and selecting an operator via a competitive application process who is able to continue to develop the National Lottery as a public asset in order to maximise the returns to good causes whilst also ensuring the highest standards of propriety and player protection.,"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: The overall programme lifecycle delivery confidence was rated as AMBER by the Infrastructure and Projects Authority at the Gate 2 review undertaken at the end of July 2020, given the longer-term impact of COVID-19 on applicants and the overall risk profile of the Programme.

The programme is confident that it will be in a position to improve the current IPA Amber rating within quarter 1 (21/22). The improvement will be demonstrated by agreeing the final timing for approval of the Full Business Case and the expected continuation of a high number and strength of applicants remaining active within the competition.",,,"Compared to financial year 19/20-Q2, the project's end-date increased from 01 August 2023  to 01 February 2024 . This is primarily due to the following factors: The programme end date has moved from 1 Aug 23 to 1 Feb 24 in response to delays caused by Covid19.  Potential applicants raised concerns about assembling application teams and preparing their applications during the lockdown restrictions so to ensure applicants didn't withdraw from the competition and to maintain a strong competitive field of applicants a six month extension to the programme was agreed.  In order to delay the start of the 4th Licence by 6 months, it has been necessary to extend the existing 3rd Lottery licence by six months so there is no interruption to the National Lottery.",16.35,15.03,91.92,"The budget variance exceeds 5%. The yearly costs are lower than expected because of the deferment of competition evaluation costs to the following year as well as cost savings made on professional services to support the programme as more activity was able to be undertaken in house.  The competition evaluation costs were deferred because the initial engagement from applicants to the Invitation to Apply for the 4th Licence was much higher than expected resulting in additional time being required for them to submit their phase 1 applications which in turn pushed the evaluation period and costs into the following financial year.   Although this has caused a slight delay, the level of engagement from applicants indicates a strong competition which should generate highly competitive applications.","Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from Ł64.34m to Ł91.92m. This is primarily due to the following factors: The increase in whole life costs is due to two main factors.  Firstly, a more thorough and robust competition with far greater engagement with the market and potential applicants which has resulted in a strong and highly competitive competition.  Secondly, the costs have also increased because of the six month extension to the programme in response to the delays caused by Covid19.",2021,Government Transformation and Service Delivery,DCMS_0013_1819-Q3,,
641,Rural Gigabit Connectivity Programme,DCMS,Amber/Green,"The Rural Gigabit Connectivity Programme (RGC) is testing innovative approaches to deploying full fibre in the most difficult to reach areas (initially identified as the ""final 10%"" of UK premises but subsequently extended to 20%) where the market alone is unlikely to deliver. The programme will establish new full-fibre 'hubs' to rural public buildings and offer vouchers from the Gigabit Broadband Voucher Scheme to stimulate demand from community groups and attract investment in eligible rural areas.","Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Red to Amber/Green. This is primarily due to the following factors: The programme has delivered its overarching learning objective which has informed the UK Gigabit programme, as well as generating contracted hubs and issued vouchers. This has been at a slower rate than projected, but has now provided the UK Gigabit programme with a significant pipeline for delivery within the Final 20%.
The target for sites delivered by end 20/21 was revised down to 457 early in Q3 20/21, to reflect delivery progress in the contracts. The latest out-turn forecast for 20/21 is 266-302. The remaining contracted sites are forecast to be completed in 21/22.
The hub site projects initiated in Q4 20/21 should be successfully contracted in Q1-Q2 21/22 and will form the first year of hub delivery under the UK Gigabit Programme.",,,"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 01 May  2021  . This is primarily due to the following factors: In Q4 20/21 three projects completed BDUK Assurance to a point where they were ready to contract and deliver in 21/22:  Highlands and NHS Scotland (Phase 2's), and North of Tyne.
Also in Q4 20/21, two further projects completed BDUK Assurance to a point where they are now ready to procure, they will then be ready to contract in early 21/22.",38.5,29.8,75.9,The budget variance exceeds 5%. RGC uses two methods to increase fibre infrastructure and takeup: connecting public buildings to act as hubs and rural connection vouchers. The capital reduction is mainly due to reduced vouchers connections spend forecast where the impact of the change in accounting recognition point was difficult to forecast.,"Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost decreased from 212.80m to Ł75.90m. This is primarily due to the following factors: The Budgeted Whole Life Costs reduction is largely due to a change in the cost recognition point for vouchers and more time taken to identify the right projects and estates for hubs, which slightly changed the profile of the pipeline.  This was exacerbated by the effect of COVID and the prioritisation by suppliers on maintenance rather than new infrastructure. The change in the cost recognition point for vouchers was necessary due to a change in treatment advice received from the NAO with the result that voucher connections delivered in 2021/22 will form part of the UK Gigabit Programme and can be accommodated within that programme's budget given that the premises concerned are in the UK final 20%.",2021,Infrastructure and Construction,DCMS_0014_1920-Q2,,
642,Festival UK 2022,DCMS,Amber,"Festival UK* 2022 is a major UK-wide festival of creativity and innovation, which will feature ten major public engagement projects designed to reach millions, bring people together and showcase the UK's creativity globally.
The Festival, backed by Ł120 million of funding will be a showcase of UK British science, technology, engineering, arts and maths and the ten teams selected to take part will help to develop world-class talent and highlight the very best of British creativity and innovation.","The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: The Festival UK* 2022 programme was subject to an Assurance Review in February 2021. The review gave a Delivery Confidence Assessment of Amber.
The Festival UK* 2022 programme has taken 30 teams through the initial Research and Development (R&D) Phase and chosen the final 10 teams that have been agreed directly with the Prime Minister.
The next steps are for the 10 teams to further develop their events ahead of a Festival branding and launch event in the Autumn.",,,The project end-date is 31 March 2023. This is primarily due to the following factors: Festival UK* 2022 will take place in 2022. Since its inception the programme has met all milestones and remained on budget,10.07,10.07,120.0,The budget variance is less than or equal to 5%. ,The projects Baseline Whole Life Cost is Ł120.00m. This is primarily due to the following factors: The programme is funded with Ł120 million of new government investment delivered in partnership with the home nations.,2021,Government Transformation and Service Delivery,DCMS_0017_2021-Q2,,
643,Natural History Museum at Harwell,DCMS,Amber,"The Ł182m DCMS-funded NHM@Harwell programme will create a Science and Digitisation centre to advance global scientific knowledge and the scientific, cultural and wider objectives of the UK Government by transforming the NHM collections' physical environment and improving physical and digital research access to the collections and their associated data.
This will enable the Museum to secure and digitise its growing collections for increased research use throughout this century and into the next, providing a springboard for partnerships, and employing and developing new technologies.","The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: Our Amber Infrastructure Project Authority's Delivery Confidence Assessment rating is primarily due to the programme being under IPA monitoring. As recommended by the IPA we are making programme budgeting a key focus of our first formal review and have scheduled it in early summer to enable recommendations to be acted on ahead of the outline business case submission. The NHM@Harwell Programme team are also drawing up a shortlist of projects and programmes we would like to benchmark against to improve cost certainty as recommended by IPA. Further to this we have explored our key programme risks, including some related to budget, with DCMS experts and the Natural History Museum's Infrastructure Committee and are planning a formal 'deep dive' review of programme risks with IPA and DCMS. NHM@Harwell are also in ongoing discussions with the DCMS to develop a Memorandum of Understanding with HM Treasury on end year flexibility to ensure effective joint work to manage the programme budget.",,,"The project end-date is 30 December 2026. This is primarily due to the following factors: The programme is still working to the schedule agreed in the Strategic Outline Case+, with the decision on what collections move to Harwell expected this summer, Royal Institute of British Architects stage 3 of the build programme planned to begin in autumn, and construction commencing in 2023. 
The scope to bring forward the start date of construction has recently been explored and, following modelling of the knock on consequences for budget and timeline, a decision to retain the current timeline has been taken. This will be kept under review as the Natural History Museum are keen to maximise opportunities to accelerate the build programme where feasible.",1.54,1.42,181.76,"The budget variance exceeds 5%. Reduction in spend due to underspend in the capital expenditure, slightly offset by an increase in revenue expenditure. Primarily this is driven by delays in the build profile expenditure. This does not reflect a change in the overall programme spend. The memorandum of understanding relating to end year flexibility that the programme are seeking from HM Treasury would would assist in managing future variance.",The projects Baseline Whole Life Cost is Ł181.76m. This is primarily due to the following factors: Full Budgeted Costs unchanged since previous iteration. Fully funded by DCMS.,2021,Infrastructure and Construction,DCMS_0018_2021-Q3,,
644,UK Gigabit Programme,DCMS,Amber/red,"The UK Gigabit Programme (Project Gigabit) will deliver subsidised gigabit-capable broadband to hard to reach areas of the UK that would otherwise have been left behind by broadband network providers in their commercial rollout plans. There will be local, regional and cross-regional contracts available for broadband network providers of all sizes to bid for, managed through close working relationships with local authorities and the devolved administrations. This approach will be complemented by vouchers, hubs, gigabit-capable Superfast contracts and barrier busting measures to improve pace and flexibility of delivery.","The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/red.This is primarily due to the following factors: This is the first GMPP submission for UK Gigabit programme and therefore it is not possible to include a change in DCA since the last report.  The current DCA is 'Amber/Red', reflecting the risk of suppliers not being able to deliver at the pace required.",,,The project end-date is 31 December 2030. This is primarily due to the following factors: There is no deviation to the schedule.,15.24,14.1,,"The budget variance exceeds 5%. The variance in 20/21 is driven by changes to BDUK's target operating model which impacted on implementation, including changes to recruitment profiling during 2020/21.  This also pushed back timescales and spend for implementing bespoke IT systems.","The projects Baseline Whole Life Cost is Ł5035.24m. This is primarily due to the following factors: This is the first GMPP for the UKGP, and the programme is not yet in delivery so we have recorded no capital spend on this programme yet. However forecasted costs from previous business cases have been used to illustrate the expected cost of this programme, the overall lifetime costs are expected to be Ł5bn.",2021,Infrastructure and Construction,DCMS_0019_2021-Q4,,
