,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year
65,Child Maintenance Group,DWP,Amber/Green,"The central premise of the Governments vision is to support separated parents to work together and set up their own child maintenance arrangements. For those who are not able to do this, the Department has introduced the 2012 Child Maintenance Scheme, which significantly simplifies the calculation rules and provides a modern IT platform. ","The Infrastructure Projects Authority completed a review in August 2015 and strongly endorsed extending the programme to December 2016.  The IPA will revisit the programme in Summer 2016 to assess the programme, including the management of the key delivery risks and whether the programme remains on track for its formal programme closure in December 2016. 

",01/08/2009,31/12/2016,"Phase 1 of the programme is complete. This introduced the new IT system, a mandatory gateway to encourage family based arrangements, and where these arrangements cannot be made, then application to the statutory 2012 scheme.  

Phase 2 introduced client charging and triggered the start of proactive closure of old Child Support Agency cases and successfully went live between 30 June 2014 and 11 August 2014. 
The programme is closing existing cases in a phased and careful way, giving parents the option to make their own arrangements or to transfer where appropriate to the new system without disrupting existing maintenance payments.

Case Closure of Segments 1-5 (around 900,000 cases) remains on track to complete by late 2017.  Case Closure for Arrears Only cases (around 600,000 cases) is planned to start from mid 2017 and complete in early 2019.   This will enable the retirement of the previous scheme IT systems. 
",Ł122.20,Ł122.20,Ł955.84,Budget variance less than 5%.,"This Business Case was refreshed in late Summer 2015 to reflect the experience of live running. 

Greater numbers of clients are reaching agreements between themselves through Family Based Arrangements than originally assumed, and more clients who have applied to the 2012 scheme are making payments between themselves using the Direct Pay service instead of using the Collect and Pay Service. This has led to a reduced staff requirement and lower running costs. In addition, the programme has accelerated Case Closure since the previous business case. 
",2016
66,Automatic Enrolment Programme ,DWP,Amber,"The Automatic Enrolment Programme was established to implement the Governments workplace pension reforms. The overarching aim of the reforms is to get more people saving more for their retirement. The Programme went live in October 2012, delivering:   
1) Automatic enrolment - a new duty on employers to automatically enrol their eligible workers into a qualifying workplace pension scheme; and to increase the incentive to remain saving in a pension scheme, there is a mandatory employer contribution.
2) The National Employment Savings Trust  which has a public service obligation to accept any employer who wishes to use it to meet their employer duty. It provides a good quality pension to individuals on low to moderate earnings. 
3) An employer compliance regime - run by the Pension Regulator to support these measures. 

The implementation approach is gradual, with employers being 'staged' by size, over the period October 2012 to February 2018; and contributions to pension schemes are being gradually increased over time to provide a period of adjustment for employers and individuals, with full contributions being paid from April 2019.
 
Once fully implemented the Department expects to see around 9 million people newly saving or saving more into a workplace pension, and an increase in pension saving of around Ł15 billion a year. ","Programme implementation has been successful, with over 5.8 million people automatically enrolled by over 79,000 employers, high levels of compliance amongst employers and opt-out rates amongst individuals remaining low at around 10%. 

The Programme was positively assessed by The National Audit Office in November 2015, while noting the challenge of supporting the very large volumes of small and micro employers to meet their duties from January 2016 onwards.       

In preparation for this, the Programme delivered a significant piece of work over Autumn 2015 to tailor its communications for smaller employers. This included a refreshed TPR website, revised employer guidance, an on-line tool to assess the eligibility of workers, and a national communications campaign to help raise awareness. 
",01/05/2007,30/11/2018,"The Programme went live on time. The implementation approach has been designed to accommodate the significant increase in volumes over the 2015-2018 period.  The Programme is on track to deliver to timetable.  

 
",Ł117.50,Ł100.96,Ł995.40,The proportion of employers complying has been higher than expected so the costs of enforcing compliance have been lower than budgeted.,"The whole life costs cover the period from 2007-08 when the Programme started through to 2017-18, the business case period (as per the business case at September 2012). The funding covers: the set up and running costs of NEST (through a repayable loan); the set-up and running costs of the compliance regime within TPR; the communications costs for raising awareness through a series of campaigns; and the costs associated with running the Programme Management Office.",2016
67,Universal Credit Programme,DWP,Amber,Universal Credit involves the merger of six separate benefits and tax credits for working age people bringing together in and out of work systems into one system to make work pay. When fully rolled out it is expected that up to 7 million households will receive Universal Credit.,"The delivery confidence assessment awarded at the Infrastructure Projects Authority (and associated Major Projects Review Group) Review in October 2015 reflected the significant progress the Programme has made since the previous rating given in March 2014. 
In awarding an Amber delivery confidence assessment, the IPA acknowledged that the Universal Credit Programme:
 has made considerable progress;
 has strong leadership in place;
 is integrated with partners with stakeholders actively engaged (with plans in place to strengthen further);
 has a single agreed end-to-end delivery plan; 
 is rolling out at pace Universal Credit nationally to single unemployed claimants across GB, and 
 is demonstrating evidence of positive Labour Market effects.        
The Programme has implemented all recommendations from earlier IPA reviews. The latest IPA recommendations have been accepted by the Programme, and action owners have been assigned and implementation action plans drawn up. All recommendations and action plans will be subject to regular monitoring and independent scrutiny to ensure all necessary action is being taken to address and close the recommendations at the earliest opportunity.     
",17/11/2011,30/04/2020,"Delivery remains on track. HMT have approved the Universal Credit Outline Business Case. 

National Rollout of Universal Credit to single unemployed claimants, in 712 Jobcentres and 380 Local Authorities, completed as planned in April 2016.  UC is now available across the whole of Great Britain.

A cohort analysis of the first 8,000 people to claim Universal Credit against a comparator for Jobseekers Allowance (JSA) shows that Universal Credit claimants spend 10 hours more per week looking for work, are 8% more likely to be in work and, on average, work 12 days longer than people on JSA.

Testing of the digitally enabled service for all Universal Credit claimants continues to expand and is now in eight jobcentres  The full service began rolling out nationally from May 2016.

From May 2016, the full service will be delivered in phases initially at 5 jobcentres per month, then scaled up to 50 jobcentres a month in 2017. As each jobcentre rolls out, all new claims will be to Universal Credit, and it will no longer be possible, in that location, to make a new claim to JSA, Employment Support Allowance, Income Support, Housing Benefit or Tax Credits. By the middle of 2018 this transition will be complete and it will no longer be possible to make a claim for legacy benefits or Tax Credits anywhere in Great Britain.

Finally, the migration of claimants in receipt of legacy benefits on a national scale will begin in 2018 with Universal Credit completing by May 2021.
",Ł585.49,Ł429.33,"Ł15,844.02","Forecast spend in 2015-16 is below budget primarily due to the economic impact of lower unemployment, coupled with lower estimates of IT costs to support the national expansion of Universal Credit to single unemployed claimants and the development of the Digital Service.","The budgeted whole life cost figure reflects the Strategic Outline Business Case as approved by HMT in September 2014 and excluded the impact of savings expected to be delivered by the Programme.
An updated Outline Business Case was approved in December 2015 and reflects the substantial changes that have taken place in the intervening period. 
",2016
68,Personal Independence Payment ,DWP,Amber/Red,"The Government is committed to supporting disabled people to live independently. The Government has introduced the Personal Independence Payment (PIP) which is a more modern and dynamic benefit that assesses disabilities objectively and equally, and focuses support on those in greatest need. It has also exempted PIP from the benefit freeze over the life of the Parliament, protecting the value of the benefit. Claimants receiving PIP are also exempt from the benefit cap.","The Programme had an IPA review in October 2015, which recognised the significant progress made in the resolution of early operational issues which had caused backlogs in 2013-2014. PIP statistics published December 2015 showed that average actual clearance times were at 11 weeks for new claims, or 6 days for terminally ill cases.

The implementation of PIP remains a challenging reform programme that requires continuous proactive analysis and management of performance, with active intervention where necessary to mitigate the level of inherent risk.
",31/10/2011,30/04/2018,"Ministers decided not to begin the final stage of PIP  the Full Roll Out to Disability Living Allowance recipients being invited to claim PIP until October 2015. To ensure safe delivery of this caseload Ministers subsequently agreed that this should be done over three years. 

A controlled start to reassessing existing DLA cases commenced 13 July 2015, utilising a test and learn approach. In October 2015, the programme commenced the full roll out by postcode, inviting current DLA working age recipients to claim PIP.  
",Ł365.81,Ł351.05,"Ł3,603.04",Budget variance less than 5%.,"New claims volumes are higher than originally forecast which has resulted in an increase in whole life costs. In order to test assumptions around DLA reassessment cases, the programme have undertaken a controlled start of Full PIP Rollout and are currently reviewing the findings. The costs cover both investment and operating costs (including IT systems, Operational and Programme costs) over the business case period (i.e. to 2021-22 inclusive). Costs will be updated to reflect learning from the controlled start of reassessment of DLA claims.",2016
69,"Fraud, Error and Debt Programme",DWP,Amber/Green,"The Fraud, Error and Debt programme forms a key part of the Governments commitment to reduce fraud and error in the welfare system. The programme aims to improve the Departments ability to prevent, detect and respond to fraud and error, and to leverage the benefits from increased sharing of intelligence within DWP and across Government organisations.

The key objectives are: 

 to optimise the use of HMRCs earnings, employment and pensions data  for Universal Credit and other income-related benefits, including working with local authorities on Housing Benefit;  

 to have a debt and deduction recovery solution in place enabling existing cases of DWP, HMRC, local authority debt and other additional third party deductions to be recovered on migration to Universal Credit (UC); 

 to deliver the Single Fraud Investigation Service (SFIS) project to provide cross-government anti-fraud services; 

 to provide members of the public with a userfriendly and confidential service to report benefit fraud online; 

 to increase emphasis on prevention and improved support for detection and investigative action by delivering a business rules-based routing and management system; and 

 to deliver an online collection service, supporting additional debt recoveries.
","The Programme had an IPA review in February 2016 which recognised that the Programme operates as an effective delivery vehicle for a range of initiatives; has a good track record of transitioning deliverables into live, ensuring realisation of benefits; and robustly evaluates potential future initiatives. Responding to the recommendations, the programme is: 
 reviewing the Programmes future alignment and composition, ensuring future activities are aligned to support the Departments 2020 vision. 
 reviewing the membership and operation of the Programme Board; and
 ensuring alignment between FED Programme initiatives and the UC Programme, via formal representation and governance routes.
",02/04/2012,31/03/2017,"The programme has made good progress in the following areas:

 SFIS successfully completed roll-out in March 16 as planned.

 the first interface enabling a debt and deduction recovery solution for DWP, HMRC and local authorities debt to be recovered on migration to UC was delivered in December 2015. Subsequent interfaces are in the final stages of development / readiness for implementation in Summer 16.   

The period has also seen the delivery of a number of solutions into Public Beta:

 Wider Use of Real Time Information (WURTi) has successfully deployed and tested its service within a small number of Pension Centres, providing access to RTi data. Roll-out commenced April 2016. Carers Allowance testing commenced May 16 with Employment Support Allowance following in June. The Project is planning further deployment of the service for Housing Benefit, Jobseekers Allowance, and Income Support. 

 Delivery of an online service for customers to report benefit fraud on line will move into Public Beta in July. 
",Ł152.00,Ł124.05,Ł834.00,"The overall reduction in forecast against budget is largely attributable to changes in the scope and timing of some initiatives, together with some reductions in the level of expenditure incurred.","The whole life costs include both the implementation costs of the Programme (including a number of individual Projects that have been delivered to date) together with the on-going operating costs of projects within the Fraud, Error & Debt Programme including the costs of operating the Single Fraud Investigation Service.",2016
70,Fit for Work Programme,DWP,Amber,"In January 2013, the Government published its response to a major review of the sickness absence system in Great Britain. As part of this review the Government committed to:
 introduce a new Fit for Work service in England and Wales, designed to help people in work with health conditions and to support effective management of sickness absence. Research suggests that being out of work for long periods is damaging to health and financial well-being, and the longer someone is off work the harder it is to return. 
 deliver enablers which allow the Scottish Government to implement Fit for Work in Scotland.  
 abolish the Percentage Threshold Scheme and Statutory Sick Pay record keeping obligations on employers  completed in 2014. 
Fit for Work provides:
- Advice: free, expert and impartial work-related health advice via a website and telephone line. 
- Assessment: referral to an occupational health professional for employees who have been off sick or who are likely to be off sick for four weeks or more.
"," The Fit for Work service was launched in December 2014, initially with introduction of the advice service, and subsequently, from March 2015, referral to an assessment by an occupational health professional. Fit for Work Scotland also launched from December 2014.
 All GPs across GB can now refer their patients for an assessment by an occupational health professional. From 8 September 2015, the Service has also been extended to employers in England and Wales.
 The programme has implemented an Independent Assessment Assurance Provider that provides clinical and non-clinical audit in England and Wales, and to gather customer satisfaction data across Great Britain from GPs and employers. 
 The number of individuals currently using the service is below the forecasted volumes. DWP and the Fit for Work supplier Health Management Limited are working closely to identify the causes and implement solutions to increase volumes.
",27/02/2013,31/03/2015,The Fit for Work programme was formally closed on 23 May 2016 and has been handed over to business as usual.,Ł15.60,Ł14.07,Ł276.36,"The variance is associated with lower than anticipated output-related costs, which were revised following analysis of service volumes in the initial stages of live running. ","The budgeted whole life cost of Ł276m reflects the business case as at July 2015 and largely covers on-going supplier costs to deliver the Fit for Work Service in England and Wales, and costs to support the provision of the Service in Scotland.  The budgeted whole life costs have reduced as they take account of the set up and delivery costs in the finalised contract with the supplier in England and Wales.  ",2016
71,New State Pension Project,DWP,Amber/Green,"This project will introduce the new State Pension and end both Savings Credit and contracting-out from defined benefit pension schemes. The programme is delivering a significant simplification of the current system, by moving to a single State Pension, set above the level of the basic means tested benefit. This, together with abolition of the Savings Credit, will provide todays savers with greater clarity about what they will receive from the state.  It also reduces the number of people reliant on the basic means test. 

The Department is also abolishing contracting out from defined benefit pension schemes.  To ensure fairness the calculation of new State Pension will recognise pre-2016 National Insurance records. This DWP led project has worked closely with HMRC to deliver the necessary changes to systems, processes and effective communications to a wide range of stakeholders (including current and future pensioners, employers, trustees and scheme providers).
","Following the last IPA review, the Programme Board has reviewed the current and future suite of external communications to ensure their clarity, fitness for purpose and alignment with customer insight. This has been used to refine the next phase of the projects communications campaign, which started in early 2016, and the future communications strategy which will continue beyond April 2016. The Programme is also continuing to develop the criteria and management information to complete the handover to business as usual by summer 2016.",27/02/2012,30/06/2016,"The new State Pension officially went live at the end of December 2015 with the first advance claims taken and processed, and due for payment in April 2016. The first new claims are being supported by live proving to ensure the complex calculations and the corresponding responses to customers are correct. HMRC have made the necessary changes to reflect the end of contracting out from April 2016. ",Ł44.82,Ł30.00,Ł174.11,The variance reflects reductions in HMRC business costs following updated planning information.,"The budgeted whole life costs were set in December 2014 and have seen material reductions in requirements for both DWP IT, and other costs and HMRC IT and Operational costs. ",2016
72,ABUJA New Office and Residence,FCO,Amber,"To provide a secure modern fit for purpose HMG office compound for both BHC and DFID in Abuja, Nigeria.  ",Amber is appropriate at this stage in the project given the challenges with achieving the required quality of workmanship in Nigeria using local labour. Additional exPat supervision and UK supplier input has been procured to support the main contractor with the remainder of the works and completion of the construction works is now set for June 2016 with occupation by the end of 2016.,01/01/2011,01/12/2016,Data not provided,Ł18.80 ,Ł18.80 ,Ł46.00 ,Budget variance less than 5%.,Whole life costs remain as reported in the last annual report and in line with budget approvals.,2016
73,UKERP,FCO,Amber/Red,The project supports the wider Cabinet Office strategy of consolidating the HMG Estate in Central London in KCS.  The project will deliver savings from 2016/17 in operating costs and promotes Diplomatic Excellence.,"Gate 4 has now taken place and the project received an Amber DCA. Amber/Red remains the FCO's overall view given the problems encountered by the main contractor in delivering specialist aspects of the design, which have resulted in one part of the construction works being a year late - now due to complete by end of March 2016. OAB was handed back to GPU on programme and all staff are now based in KCS.",01/06/2011,01/08/2016,Data not provided,Ł31.26 ,Ł31.26 ,Ł64.90 ,Budget variance less than 5%.,"Whole life costs remain within the approved budget, but contingency remain is tight and being closely monitored for the final stage of the project.",2016
74,Technology Overhaul,FCO,Amber," Providing reliable, resilient and easy to use technology across our global network.
 Enabling mobile and flexible working, Official where possible, Official-Sensitive where really necessary.
 Providing customer interaction and service provisions which are digital by default, delivering information and knowledge management capabilities, encouraging innovation and a culture of working together.","Amber DCA is appropriate at this time. The FCO Board has agreed Tech Overhaul funding as part of its own SR exercise; we are working to mitigate our top risks that relate to getting the technical build right for our devices, finalising our design and roadmap for Cloud, and working with our security community to ensure we have the appropriate security wrap for this Tier 1/Official programme",01/11/2015,01/03/2018,Data not provided,Ł25.56 ,Ł13.40 ,Ł105.50 ,"Delays introduced as a result of awaiting the outcome of the SR15 Settlement were necessary to ensure that the Department could afford to deliver the full scope of Tech Overhaul, this explains the variance to the 15/16 allocation. ",In December 2015 the FCO Board of Management approved the full scope of Tech Overhaul and a budget envelope of Ł105.5m. The Programme is currently progressing through the internal FBC approvals process and expects external HMT / CO approval at the end of March 2016,2016
75,Movement of Personal Effects Contract,FCO,Amber,"To provide the continuation of the movement of personal effects (e.g. Heavy Baggage, UAF, Car Freight) to HMG staff and their dependents posted overseas from September 2016","Agree with DCA. Recommendations discussed and impementation underway: 
 OBC completed (and approved) with clear set of options, financial assessment 
 Delivery stage (mobilisation period) discussed and planned at Project Boards 
 Liaising with PAG Partners to better understand internal governance procedures.  
 Benefits planned drafted, measured alongside a RAID and monitored at Project boards
",06/07/2015,30/09/2016,Current MOPE contract expires 31 August 2016. New contract must be in place by 31 August after an approx. 2 month mobilisation period,Ł0.00 ,Ł0.00 ,Ł42.50 ,Budget variance less than 5%.,"Predicted annual project costs for the FCO are Ł8.5 million. Full potential 5 year costs from 2016 - 2021  (3 years, +1 +1) for the FCO are Ł42.5 million. A cross- whitehall contract total cost could be Ł12.5 (per annum), Ł37. 5 (over 5 years).",2016
76,ICT Re-procurement,FCO,Amber/Green,"The Programme was tasked with procuring and transitioning to a new Service Management and Integration (SMI) service and a successor Desktop Infrastructure (DI) service to replace our business critical Firecrest managed service contract with the then incumbent, Hewlett Packard (HP).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 The Programme was established to prepare for and carry out the necessary procurement activity, put in place and transition to the DI and SMI contracts, maintain service continuity as the HP contract expired, enhance the systems and services and deliver significant cost savings in doing so.                                                                                                                                                                                                                                                                                                                                                         ","The FCO is making good progress. Gate 4a (April 15) concluded that further good progress had been made on the Programme since Gate 4 (Sept 14), including a successful roll-out of the SMI toolset (also used by the DI) under joint FCO/SMI management. Subsequently, the DI phase two transition to new operational services has been completed with the last contractual transition milestone under review. The FCO,  SMI and DI have made reasonable progress in responding to the other recommendations in Gate 4a, though it is acknowledged that more needs to be done (particularly on benefits management).  Nevertheless the issues continue to be managed through an Action Plan. The FCO therefore considers it is in a good state of readiness for both successful Programme closure in Q1 2016 and on-going management of the BAU services. Programme Closure is slightly later than planned (end of Dec 2015) but the Programme remains on schedule for its  IPA Exit Review (end Mar-early April 2016). ",01/01/2011,18/12/2015,Data not provided,Ł27.29 ,Ł31.95 ,Ł161.10 ,Variance mainly due to the need to keep the legacy disaster recovery site open for longer than planned (as the project to replace it has had delays) and additional SMI operational costs to extend the scope of the SMI service.,"The whole life costs include transition costs and  operational costs. Previous returns also included costs to refresh and enhance the desktop infrastructure but these were superseded or impacted by the Technology Overhaul Programme. The ICT Procurement Programme was therefore descoped to remove its transformational elements and its budgeted whole life costs have been reduced accordingly. The descoped programme remains on course to deliver substantial  operational cost savings.


",2016
77,CUSTOMS DECLARATION SERVICES (CDS) Programme,HMRC,Amber/Red,"HMRC is responsible for delivering an end to end declaration processing service for imports to and exports from the UK.  The current service delivery system is the Customs Handling of Import and Export Freight service (CHIEF).  Each year this business critical service handles c.50 million declarations and accounts for Ł34bn revenue, set in a context of an international trade supply chain that is worth Ł700bn p.a. to the UK economy. This is a business critical declaration processing system handling movements of 3rd country (non-EU) goods. CHIEF operates real time, 24 hours per day, 365 days of the year.The current CHIEF system is more than 23 years old and based on aging Virtual Machine Environment (VME) technology. The service has reached a point where any changes (including EU legislative) will be both expensive and technically very difficult to implement.  HMRC are seeking to replace CHIEF with a robust, scaleable and extensible set of import /export services, capable of delivering this critical function into the future.  ","Customs Declaration Services programme (CDS) is on course for successful delivery subject to continued management of key risks around: keeping to agreed CDS timelines - including successfully procuring and integrating two commercial-off-the-shelf software packages in 2016; and continuing to secure the full range of resources and expertise required from within HMRC, wider government and UK Trade.  Progress has been made on developing the programme level End-to-End Delivery Plan, including the integration of components through 2016 and in driving the development of a comprehensive CDS Resource Plan to support delivery.

Although CDS scored an MPA RAG Rating (and delivery confidence assessment) of 'Amber/Red' at 30 June 2015, this has subsequently improved and was recognised by an MPA Gateway 0 assurance review  in July 2015 which provided CDS with a delivery confidence assessment of 'Amber'.    

",16/10/2013,31/12/2018,Data not Provided,Ł21.94,Ł18.98,Ł71.16,"The Budget figures in the Q2 Report are from SOC v1.7 (Feb 2015), being the latest approved business case at the snapshot point. However, by the time the Q2 report was created an OBC had been produced reflecting the change from IT development entirely in-house to a mixed approach including IT procurement with licence costs falling in both 2015/16 & 2016/17.  The reported 15/16 forecast figures align to the updated view reflected in the OBC.",Data not Provided,2016
78,Columbus (formerly Aspire Replacement Programme),HMRC,Amber/Red,"To manage the safe exit of HMRC's ASPIRE IT contract that expires in June 2017. The Programme Aims and Objectives are: The Programme aim for the scope reflected in the Business Case is to:
 achieve a safe transition from the ASPIRE contract to the new HMRC IT operating and sourcing model, enabling HMRCs digital and data transformation and deliver the benefits of the new model thereafter.

The Programme objectives for the scope reflected in the Business Case are to:
 Ensure there is continuity of IT supply to the Department and its customers once the current contractual arrangements through the ASPIRE contracts expire in June 2017;
 Ensure that new sourcing arrangements provide better value for money, drive out savings compared to current baseline and are market aligned and consistent with Government standards for ICT contracts and IT delivery; Ensure the operating model for IT in HMRC is transformed to enable HMRCs digital and data transformation and to ensure that changes can be made more flexibly and at greater speed through a new target operating model, sourcing model and re-engineered processes;
 Ensure HMRC has the capacity and capability to operate its new IT operating model on a sustainable basis;
 Ensure the transition from ASPIRE contracts to the new operating model is as smooth as possible with minimal disruption to service (same or better SLAs) and project delivery (time, cost, quality as agreed for each project) during the transition period.  ","Since the Amber-Red assessment the Programme has made significant progress, successfully delivering the first phase of the Programme, as approved by Ministers in the summer of 2015, transitioning three key Aspire services and their associated delivery teams into HMRC. The Programme is now assessed by the SRO and Programme Board as Amber.
Ministers have approved the Programme's Outline Business Case for its next phase of delivery. This latter Business Case approval now enables the Programme to proceed with its plans to exit the entire Aspire contract safely in a phased way.    ?The Programme has now reached contractual agreement with the major Aspire suppliers to exit the Aspire contract in a phased way that will protect service continuity to HMRC's customers and protect the flows of revenue into the Exchequer.  The Programme is proceeding cautiously keeping close management attention on the phased exit plan to ensure that significant risks do not materialise.
",01/01/2014,31/12/2021,Data not Provided,Ł88.00,Ł88.00,Ł600.00,Budget variance less than 5%.,Data not Provided,2016
79,Tax-Free Childcare,HMRC,Amber,"Under TFC the intention is to provide childcare accounts for all eligible children for which the first Ł8,000 deposited by parents or others is topped up by government by 20p for every 80p deposited, up to a maximum of Ł2,000 per child per year. The TFC programme will design and implement the TFC scheme. Accountability for TFC is divided between HMRC and HM Treasury (HMT). HMRC are responsible for TFC delivery and for outcomes on customer service such as correct payments and data security. HMT have responsibility for ensuring the scheme delivers its intended policy outcomes and for advising ministers on any further policy changes needed to ensure the outcomes continue to be achieved. ",On target to deliver TFC in line with revised go-live in early 2017.,10/09/2013,30/06/2018,Data not Provided,Ł41.87,Ł37.51,Ł241.83,"The 2015/16 Budget of Ł41.87m is taken from the Tax-Free ChildCare (TFC) Outline Business Case(OBC) version 2.1 approved by HMT & Cabinet Office in December 2014. Forecast spend is below budget due to a legal challenge from voucher providersin the existing Employer Supported Childcare (ESC) scheme, to the decision to appoint National Saving and Investment as the Childcare Account provider. 
Following the Supreme Court judgement re-planning and costing work is currently underway to reflect the revised go-live date.",Data not Provided,2016
80,Home Office Biometrics (HOB) Programme,HO,Amber,"The HOB Programme will deliver a single replacement service for current biometric capabilities including enrolment, verification, search, identification, matching, record retrieval, deletion data searching and watch list management.
The new single service will speed up border management and improve the identification of persons of interest, allow for the faster solving of crime through quicker identification of suspects, provide more accurate and verifiable identifiers leading to reduced fraud and counterfeiting, speed up immigration user checks and help prevent terrorism.","The Programme has successfully extended fingerprinting contracts for the police and immigration.  It is also now progressing development of the key Biometric Services Gateway capability which will provide a common platform for future biometrics services.  The leadership is strong, capable and coherent, and is well regarded by stakeholders.

",01/04/2014,30/11/2019,Difference in original baseline compared to latest approved baseline date is down to a more defined scope for the future.,Ł63.70,Ł63.70,Ł640.30,Budget variance less than 5%.,HOB finance and benefit data was reviewed as part of the Programme Business Case submission in September. ,2016
81,Cyclamen Programme,HO,Exempt under Sections 24 and 31(1) of the Freedom of Information Act (2000),Cyclamen equipment provides the capability to detect and intercept the illicit movement of radiological materials into the United Kingdom.  The Programme will deliver modernised Cyclamen capabilities that continue to safeguard the security of the UK Border. ,Exempt under Sections 24 and 31(1) of the Freedom of Information Act (2000),01/04/2014,01/04/2021,Exempt under Sections 24 and 31(1) of the Freedom of Information Act (2000),Exempt under Sections 24 and 31(1) of the Freedom of Information Act (2000),Exempt under Sections 24 and 31(1) of the Freedom of Information Act (2000),Exempt under Sections 24 and 31(1) of the Freedom of Information Act (2000),Exempt under Sections 24 and 31(1) of the Freedom of Information Act (2000),Exempt under Sections 24 and 31(1) of the Freedom of Information Act (2000),2016
82,Technology Platforms for Tomorrow (TPT),HO,Amber/Red,"The main IT supply contracts for the Home Office expire in 2016 (though there is a 12 month transition period built in to the contract which the programme is invoking). The main objective of the Programme is to replace the existing IT service provision for the core Home Office whilst:
 taking ownership of the IT estate
 maximising the flexibility and agility of our IT provision
 minimising the impact of the change on the business
 innovating and making use of technology and process enhancements
 ensuring service levels are maintained or improved upon (only reduced where conscious and evidenced cost saving decision is made)
 minimising the costs of change (transition).
","The timescale pressure has been reduced by the identification of a handover period with the incumbent supplier's contracts, though the time taken to identify possible solutions based on User Research with the Government Digital Service (GDS) has eaten into this, and significant financial and solution / plan risks for the programme remain. TPT is working closely with the GDS to ensure the right level of disaggregation given the complexity of the HO Technology estate. TPT is accelerating the transition away from Fujitsu in the Service areas and is in discussions with Fujitsu to utilise the transition period included in the contract.  Aspects of the original programme such as user research have been split out of TPT to enable a better focus on core deliverables.",01/02/2014,01/09/2016,The Programme is on track to deliver within the contractual run off period but is identifying mitigating actions in case of delays in to its contractual discussions with the incumbent suppliers.,Ł29.00,Ł29.00,Ł369.50,Budget variance less than 5%.,The whole life cost (WLC) forecast includes the cost of transitioning to new suppliers during the five years post transition as shorter G-Cloud contracts are let as part of the transition. The Programme has been financially constrained this year as initial plans were to spend Ł42m this year and this means that the spend profile has pushed this cost into 2016/17.  WLC has increased from the initial value due to the inclusion of 'Cost of Change' as well as an extra year of business as usual costs as the programme is now running longer.,2016
83,Digital Services at the Border (DSaB),HO,Amber/Red,"The Digital Services at the Border (DSaB) Programme was launched to deliver a new generation of Border Security Systems including replacing the Warnings Index (WI) and Semaphore (S4). The primary benefits of delivering DSaB are to: enhance the security of the UK; gather and act on data from those people and entities crossing the border, both inbound and out; and provide timely and accurate data to those who need to access/use it.
","The May Programme Assessment  review identified encouraging signs of progress and since then, further substantial progress has been made in addressing the recommendations raised.
",12/02/2014,31/03/2019,"The Programme remains on track for its pilot phase.  Recognising the Amber/Red assessment, efforts are being directed towards further validating the forecast delivery timescales.",Ł16.67,Ł17.89,Ł307.93,The variance is on account of additional costs identified during discovery along with an increase in the scope of the programme.,"The DSaB financial model includes Optimism Bias, VAT, inflation and business as usual costs. The whole life costs include the post delivery running costs for 1 year post delivery (2019-20).

There is a change in costs due to a comprehensive bottom-up costing exercise which increased the accuracy of the total cost estimates.",2016
84,Adelphi Modernisation Programme,HO,Red,"Adelphi is the Home Offices name for its Oracle Enterprise Resource Planning (ERP) system and Shared Service Centre. The Home Office currently uses a version of the system for which, as of March 2015, Oracle support is due to cease. Therefore it is proposed that the Home Office move to a supplier who can provide both an updated ERP i.e. Oracle Release 12, and a common shared service model to provide transactional human resource, finance (including payroll) and procurement  services, in full alignment with the Cabinet Office Next Generation Shared Service strategic plan and the approved approach of the Crown Oversight Function based within the Cabinet Office.
 
This will effectively upgrade the current Adelphi system and transactional processes whilst offering benefits in terms of cash savings through economies of scale and improved user experience. 

",The Red status of the Programme reflects the delays to 'go live' in the cross-government programme and the associated increased cost to the Department of having to run existing systems for an extended period of time. ,05/06/2014,31/03/2016,The implementation date is still subject to agreement with the supplier. The Home Office continues to meet the interim working schedule to ensure progress is still made. ,Ł32.42,Ł26.82,Ł185.30,The business case position was established  pre-contract  commercial negotiations. Hence the forecast position takes into account reductions through supplier negotiation.   The stated forecasted costs are however subject to change as  commercial discussions with the supplier on the costs of delay have yet to take place.  ,As per previous commentary costs at present are not fixed  but remain within the agreed funding envelope.,2016
